scramble,orientation,Step_UF,Step_BR_UBR,Step_FL_UFL,Step_BL_UBL,Step_FR_UFR,Step_GEN,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B',F2 D R' D',L2 U L2,F U' F' L' U' L,U' F R' U R2 F' U' R' F' R,,U' B2 F2 D B2 F2,U' B U' F D2 F' U B R2 B2 U,41
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,B,B' D F' D B,B D B',U B U2 L2 B',R B U2 F' U L2 B' F2 R' F2 U F,,L R' F2 L' R U',B F' D U' F2 D' U B' F,41
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,B',D B2 D' R2,U' L' D' B2 D,R2 F2 D' F D R2,B U L' B2 U F' D' F U' B2 L B',,B2 R2 F2 D' B2 L2 F2,U B2 R2 F2 D' B2 L2 F2 U2,44
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,D L B,R2 D R D',B' U F R2 F' U' B,F D2 B D2 R2,R' F L' U' L U F' R2 B' D2 R' B,,F2 U B2 F2 D' B2 U,B F' D U' F2 D' U B' F,47
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R' B',B2 D B D' B R,B' F2 D F2 U B,U R F2 L,B L U' L' U2 F' L B L B2 F,,U B' F R2 B F',U' F2 L2 U B2 R2 U F2 U' R2 F2 D' B2,48
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' D,B U B' R',F2 L2 R2 F' L2 R2 F2,U L,R' U2 L R' F' D2 R F2 U2 R B2,,U2,D' B' R B' L2 B R' U B' L2 B U' B D,41
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,U L' B,L U2 F2 L',R' U F2 L F2 R,U2 F2,F U R2 B U' L' F' R' U' B' R D,,U' B F' L2 B' F,B2 F D F' R2 B U' B' R2 F2 D' B2 F2,46
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' L B,L2 D2 R D2 L2,L U2 L',F' U2 L2,B2 F' L F' D' B' F2 U2 B',,B' F R2 B F' U',R' B D B' R U2 B D2 R' D R D B' U2,43
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D',U L2 R F L2,L D' B' U' B D L',F',L F2 L' R' U2 B' R' B R' U R,,F2 U B2 F2 D' B2 U',D2 B' R B' L2 B R' U B' L2 B U' B D2,46
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D',U' L2 U2 F,B2 L2 R D L2 R' B2,B L2 U' L B',F R B' R B' F2 L' B' L F U' B',,B F' L2 B' F U2,U' B U' F D2 F' U L' B R2 B' L B' U,50
