scramble,orientation,Step_UF,Step_FD_LD_RD,Step_BD_DBL_DBR_DFR,Step_BR_UBR,Step_FR_UFR,Step_BL_UBL,Step_FL_UFL,Step_GEN,total_moves
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R' B',U' F2 R2 U',B2 L B2 L F' D' L' D L2 F2,R B' F D2 B F' R,L' D L' D' L' U B2 U',L' B F' D2 B' F L',B' D L R' B2 L' R D B,F R U2 B2 D2 L B2 U2 F,56
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,B,B2 D2 B' U B' L',F2 R2 B F2 R' D' F' R B' R2,U' F' D F L2 D2 L2 U' F D' F2 U2,D' F' D B2 D' F D B2,R F' L2 F L2 F R',B2 R B U' B2 U B' R',,52
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D',L U2 F U' L,L' B2 F' L B2 U L' U' L2,R B2 R' B2 R',R B2 D R D' R' B' D' B' R',U' F' D F D' U,D' B D2 R D R' F D' B' D F' D2,,49
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,D L B,U' R' F' R' U' L',B R' D2 R B2 D2 B,D2 U2 F D' F' D2 U2,,L2 U' L' U L' U' L2 U,B' D' B2 U R2 F2 D F2 U' R2 D B',B F' D' F D B' F L' F' L,53
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,B',R' U L' F' U2,F2 R F' R F R' F2 R',U' L' U2 R' U2 L U,D2 U B' L B' L' B2 D2 R D R' D' U',U R' F R U' R B' D R' B,L2 D' L U B2 D U',,51
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B',R' B L B' U' R',B R2 D2 F2 R F' R2 B' D2 R2,F U2 B' R2 B R2 U2,B L2 U' F U' B U2 F2 L2 D' B2 D' F,L2 U R' U' L2 U R U',D' U L2 D U' F2,,51
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' D,U' B L B' R2,F' U L' F2 R2 F2 R2 U',F' L2 F L2 F,B2 D B D B' D' R D' R' B2,L' B F' D2 B' F L',B2 D2 B2 L B L' B D2 B2 L' D' L D,F R U2 B2 D2 L B2 U2 F,59
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D',R',B' F2 D R F2 R' B F2,L2 R F' R B U2 B' R2 F L2,R B D' B' R B D' R' D' R D2 B' R2,F2 D' F' D U' R U F2,D B D B' D2,F R U2 B2 D2 L B2 U2 F,55
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' L B,R B' D B L2,R' F2 R2 D R F2 R F D',F' L2 F' U' R U L2 F,F' D2 F L2 U B' L' B2 U2 R' U' R U2 L',B U2 F' D F U2 B',D' R' D L' D' R D L,F' U2 B2 L' D2 B2 U2 R' F',63
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,U L' B,R2 F' U L' U2 L,R' B L' U' L D B R B2,U R2 U F D' F2 D U2,L2 B2 U' F D L2 D' F' U L2,D' B2 U R B' D2 R' B2 U2 L' U B D L2,D' L' B' L B L D,F R U2 B2 D2 L B2 U2 F,66
