scramble,orientation,Step_BD_DBL_DBR_DFR_LD,Step_FD_RD,Step_BR_UBR,Step_FL_UFL,Step_BL_UBL,Step_FR_UFR,Step_GEN,Step_UF,total_moves
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F' R U2 F L' D' F,L2 F' R2 F L2 B',F2 D2 F D2 F2,U B2 U' L' D L2 D',U R2 U F' U' F' R' F R' U',B D L2 U2 F U F' U L2 D',,R2 D' B F' R2 B' F D' R2,54
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L' F D2 B2 U L B,B' D F' R F D' B,R B2 R B2 R',D2 B2 R' B' R B' D L' D L,B' U' L U L B L',L' D L B2 D B2 D' B2,,R2 D' B F' R2 B' F D' R2,53
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B D2 L' U' B2 R2 F' R2,R' B R2 U' B' L U,F' L2 U' R U L2 F D2,L' B' L2 B L,L' B' L' B D' L' D' L D L2,R B D B' R' B D2 R D R' D B',B R D' R' B' L' F' D F L,R2 D B F' R2 B' F D R2,69
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,D' R' F' U' F L2,R' D' U R2 F U',F U2 B' R2 B R2 U2,D2 L' D L D2,U' F' R F' R' U' R' U F2 U,R' U2 L F' L D2 L2 U2 B' R' B,B U2 F2 R F2 U2 B2 L B,R2 D' B F' R2 B' F D' R2,63
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,U' B2 U2 B' L F' R' F2,B F' R B' F,F' L F R F' L' R' F,D2 R B D B' R',U' F' D' F D L D' L' U,L' B' U2 R2 D2 R F' R U2 L' B,F' D' F D B' F L' F' L B,L2 D' B' F L2 B F' D' L2,66
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,B' R U' R B' U B' U2,R D' U F' U',F' L2 F2 L2 F D,B D' B' D B L B L' B',D L' D' B' L' B L,L' B' U2 R2 D2 R F' R U2 L' B,B R D' R' B' L' F' D F L,,56
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D2 F2 R' F D F2 R2,B F' R2 B' F,U2 R' D R D' U2,D2 B D B',R' U2 L U' R' F R U' R2 D R' B,F' L2 U2 R2 U2 L2 D2 F,B R D' R' B' L' F' D F L,,52
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D' R2 B' U F2 U L F',U R' F U L' U2,B D' B2 U2 F2 U2 B,D' B D R D R' B',L2 D2 L B' U B' U' B2 L2 D L D L2,R2 D' U F2 U',,R2 D' B F' R2 B' F D' R2,55
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,R U2 L D2 U' F' L',B L2 F' R2 F L2,D L' D L,B2 F' D2 F L2 B' L2,B R F2 D F2 D' F2 R' B' D2,L2 D' L U2 R' D' R D U2 L U2 R U2,B' F' L' U2 B2 D2 B2 U2 F2 L B F,R2 D' B F' R2 B' F D' R2,68
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,L B F2 U' F' U' L',U' B' D' U R,L' D L' U' F2 U L2 D',B2 D R' B' D' B' D R B',B' U' L' U B,B U F U F2 L2 U B2 D B U' F U2,R' F' U2 L2 D2 B' L2 U2 R',R2 D' B F' R2 B' F D' R2,65
