scramble,orientation,Step_UF_UR,Step_FD_RD,Step_DBR,Step_BL_UBL,Step_FR_UFR,Step_BR_UBR,Step_FL_UFL,Step_GEN,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D B',L R' U' F R,D F2 D',L F L F',B2 L' B2 L,F' L' F L F2 L F' L2,B L' B' L B' U B U',R' F' L F' L2 R U2 L U2,43
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,L2 D2 B',B R B2 R' B',B2 R2 B2 R2,R B D' B' R',L R2 F L' R2,F' D2 U2 B D2 U2,F' D' B D' B' D2 F L2,L F L' B2 F' D F' D' B2 F,46
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' D2 B D',B L U B',L2 F2,L',B U F' U2 F U' B',U2 F2 L' U' L U F U' F U2,R' B' U2 B R,R' U' R' F2 R U2 B L B' U' R,44
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 F' D,L U2 F U',D F' D',B U2 F U F' U B',R F2 R' B' R F2 R' B,D U2 R' D' U2,L' F L' F' L,L F' U' L2 U F U' L2 U L',46
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' B,B F L2 U B',B2 L2 B2 F,R2 B U' F' U B' R2,L2 B2 L' D' L D B2 L2,U' F U B D U' F' D' U B',R B D B' R',R' F' L D F R F R' D' L' R,52
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L' U L' D2 B,F' L2 U' L U2,B2 R2 B2 R2,R2 B D F' D' B' R2,U R' U2 L F2 L' U' R U2,R B' U' B R',B L2 R2 F D2 L2 R2 U2,L R' U L' U' F' L' F R,52
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B,F' L2 U2,L' F2,L R2 D' L D L2 R2,R2 D' L D F2 R2,U L' U' F2 L2 F',U' F2 D' B D' B' D2 F2 U,R' F' L D F R F R' D' L' R,48
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L F' R' D,F D2 R B D2,L' D F2 D',R2 F U' F U F2 R2,B2 R2 F' L' F R2 B2,U' F L' F L F' U,D L2 F L2 F' D',L2 R2 F L' F' L' R F' L' F R,51
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L2 D2 L B,B F' U L' B',L' D F2 D',F L' F2 D F D',R2 U L U' L' R2,F2 L B2 L2 B2 L' F2,B2 R B2 L' B2 D' R' B2 L U,F' U' B L D L' F D' B' U L' F,54
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D L D2,D2 R' D2,F2 L' F,B D' B2 D B,B2 L2 R2 F' L' F L' R2 B2,L2 U F D F' D' U' L2,F L B2 L' B2 F',B F' U' L' U F U' F' L F U B',49
