scramble,orientation,Step_GEN,Step_FD_RD,Step_FR_UFR,Step_BR_UBR,Step_BL_UBL,Step_FL_UFL,Step_UB_UF_UL_UR,Step_DBL,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,R F' D2 B L D' F',L' D2 U L2 R2 D R,L2 U2 B2 U2,U L U2 F2 U2 L' U',L U L U' L U L' U' L',L D B' F L2 B F' D L',R2 U L2 B2 R2 B2 F2 U R2 B2 U',L' B L' F2 L B' L' F2 L2,63
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,D' B2 R' B' U2 R' D' B',D' R' B2 F2 L',B2 L2 B2,U2 B2 D2 B2 U2,B2 R B' U' F2 U B R' B2,U2 B2 D U2,B' U B2 R2 F2 D R2 B' F' D2 F,,45
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,D2 R' F2 L B D U2 F',L D2 U2 R B2,L2 D' R D' L' F2 L D L2 R',D2 F2 D' F2 D2,F2 D' U' F2 D U,L2,L2 B F' D' U' F' D' U B' F,F R' F L2 F' R F L2 F2,54
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,R' F L' R' F2 D' B',L D2 U2 R B2,L2 D2,L' B' D' F2 D B L',L U L U' L2 U L' U' L',L' B U' F' D2 F U B' L,F2 L2 D' L2 F2 L2 D' L2,F R' F L2 F' R F L2 F2,56
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,R' U2 R B D' F R2 B',L' B2 F2 R' U2,L' U2 B2 U2 L',D' L F2 D2 F2 L' D2 F2 D',D' R D2 B' R F2 R' B D2 R' D,U B2 L' D2 U2 R' U,D L2 F2 L2 D' F2 L2 F2 D2,L' B L' F2 L B' L' F2 L2,63
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,R2 F2 D L' F D' B R',U L D2 U2 R',F' L F' D' F L2 U B U' L F,D R' F2 D2 F2 R D',U R U2 F2 U2 R' U',L2 D2,R2 D' B F U2 B F U' L2 B2,L' B L' F2 L B' L' F2 L2,59
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,F2 U F' U B D' B',R' B2 F2 L' B2,U R' F2 U2 F2 R U',U' F2 U' B2 R' D2 U2 L',F2 R B2 D2 F2 L B2 U2,U2 B2 D' U2,D2 L2 F2 L2 D L2 F2 L2 D',,48
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,R B F2 R F' D B',U L D2 U2 R',D2 F2 U2 B2 U2,D' L' D2 F2 D2 L D,B D U' R' F2 R D' U B',B2 U2 F2 R' F2 U2 B2 L,U B' F R2 D U' B D' U B F',U F R' F L2 F' R F L2 F2 U',63
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,R' U F2 L2 U L F',U R D2 U2 L U,B' R' B2 U B2 U' B' R' U R2 B,B2 R2 B2 R2,U2 B2 U2 L2,B2 U' F2 R U B2 F2 D' L',B F D' U F D U' B F' U' B2,L' B L' F2 L B' L' F2 L2,61
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,U R B' F' L' U' F',R' D B2 F2 U' L',B' R F D' F D2 F' D F' R' B,F2 D' F2 D2,B' R2 D R F2 R' D' R2 B,U2 B2 U2,D2 L2 R2 U L2 B2 L2 U' R2 F2 L2,L' B L' F2 L B' L' F2 L2,60
