scramble,orientation,Step_UL_UR,Step_FL_UFL,Step_FR_UFR,Step_BR_UBR,Step_BL_UBL,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,R2 B F2 D U' F' L2 R2,U' F2 D L2 D',B' F' R2 B F' R2,F2 R U' R' U2 R U R',U L B2 D R' F2 R D' B2 L',L2 R2 D' L2 R2,U2 F2 U L2 R2 D' L2 R2 F2 U,52
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,R B L' D' F U2 B2 D R,U L' D' R' B2 R D L,U R' U L F2 L' U' R,U' B2 D R2 D',B2 U R' U2 F2 U2 R,U' L2 R2 D L2 R2,D' B U' B R2 B' U B' F2 L2 F2 D,55
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,U R U2 B2 L B' D' L2 F',U' L U' R' F2 R U L',R' U' L' B2 L U R' U R2,R U L2 R2 D' L2 R,R' D2 F2 D2 R,L' R B2 L R',L2 R' F' L D2 R' B L2 R' U2 L2 B' L R',57
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R' D' U L U F R2 F',D2 L F2 U2 F2 L' D2,U' R' U L F2 L' U' R,B D2 R B' U2 B R' D2 B',B2 D2 B2 D2,U L' R B2 L R',L2 U B2 R2 U B2 D' B2 F2 R2 D B2 U2,55
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,R' U' B' L' D U2 R2 B' R,B2 U B2,R' U' L2 R2 D L2 R',U2 L D2 F2 D2 L',L' U' R' F2 R U L' U L2,L2 R2 D L2 R2 U',L2 F D F' R2 B U' B U B2 L2 R2,52
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,U' R D' F2 D' B' D' R',B2 U2 B2,B F' U2 B' F,U2 B' L U F2 U' L' B,L2 B2 L2,R2 F2 L2 D R2 B2 L2 U2,L2 F2 L2 U L' R' D2 L R U',45
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,B L2 D L2 F' D F2 L',D L2 D',U L' U2 B2 U2 L,L R2 D' L2 R2 U L F2,B' D2 L' B U2 B' L D2 B,L' R B2 L R' U2,B U B' U B' U' B' U B2 U2 B',51
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,D B' L B2 R' F' L,D U' L2 D',D F2 L D2 U2 R B2 D,U L D2 F2 D2 L',U' L' U L U2 L R2 D' L' R2,L' R B2 L R' U,B D' R' D' L' U2 L' D R' U' F2 R2 D B,55
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L B D2 F2 R' B U L2 F',U F' R U B2 U' R' F,B2 U' B2,B2 L U2 F2 U2 L' B2,D' L2 D,U L2 R2 D2 L2 R2,R' F2 U L F2 R' D' F2 L D' R2 B2 L2,49
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D U2 F2 L R B' F2 D' F',B2 U2 B2,U' F' D2 R' F U2 F' R D2 F,R2 U R' U L F2 L' U' R',F2 U F2,L2 R2 D' L2 R2 U,F' R U' L2 F' D2 F' D2 F L2 F U R' F,54
