scramble,orientation,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,Step_UF_UR,Step_FR_UFR,Step_FL_UFL,Step_BR_UBR,Step_BL_UBL,Step_GEN,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,U' L' R2 B',D L D' B D2 R' U2 R B' F,D2 B D' B',R D' L' D L R',D2 L' B' L B D L D,D U2 F R F' R' D' F' U2,L F U B D L' D' B' U' F',,51
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F2 D L2 U2,B' D B D2 L' F2 L' F',B R D R' B' D',B2 D L' D' L D' B' D B',D2 B2 R' B' R B' D L' D L,L2 F L F' L,U' R F' D F D' R' U,,50
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B R,B2 D' F D2 L2 R F U R',L' F' D' F D2 L,D' R B F' U' R U B' F R',F' D' B2 D' L2 U R2 U' L2 D2 F,U2 F D F' D' U2,B2 D U' L2 D' U,,50
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F L2 R B',R' B R' B' F' R2 D' L2 F',B D' R D2 R' B',R2 D' L' D L F2 L' F' L F' R2,L2 U2 R' F' R U2 L' B L' B',B U R' D R U' B',L2 D2 U B' D U' L D L2,,56
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,R' F' R' U',R2 U B D' B L2 F2 U' F',D' L' D' L,B2 R U' F2 U R' B2 R U' F2 U R',L B' L' U' L U B,R' U R D R' U' R D',B' U R' D R U' B,L' F L B D2 F' D' F' D F2 D2 B' F',64
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R F2 U',U' L2 D' L R' F2 U B2,L' B' L2 B D' L D',L' R D' L B2 R' U R' U' R2 B2 R',B2 R' B2 D' B D R2 D2 R' D' B' D',L U' F' U F L F' L2,B2 D U' L2 D' U,L' F L B D2 F' D' F' D F2 D2 B' F',69
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,F2 R B,F' L2 U2 L' U' B2 U' R',L' B' U2 R2 F' U2 L',L U2 R2 F R2 U L' U2 R B' R' U' B,F' L2 F' L2 F,R' B' F D2 B F' R',B' U R' D2 R U' B,,50
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,R',U2 L' B2 D U2 R' U L U',D' R B2 R' B2 R',,U2 L' F' L F2 R' F L' F' L R F2 U2,L2 U' F' D' U L' D L2,B L' F' L B' L' F L,L' F L B D2 F' D' F' D F2 D2 B' F',58
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B' L2 U,F2 L2 B D R' U B' R F2,U2 R' D R U2,U2 B' R D F' R' B F U R' U,D B' U' B D' B' U B,D R2 U R' U' R2 B2 L' D' L B2 R D',F2 U L' D U' F D' F2,,57
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D L R2 B',F' R2 B U B F2 R2 B2,D' U B R' B' R U',R B2 D R' D2 F' D B' D' F D2 B R B2 R',L' D' L D' B R' B R B2 D2,D' L' D L,U2 B L2 U2 R2 F D2 R2,L' F L B D2 F' D' F' D F2 D2 B' F',69
