scramble,orientation,Step_RD,Step_UB_UF_UL_UR,Step_FR_UFR,Step_FL_UFL,Step_BL_UBL,Step_BR_UBR,Step_BD_DBL_DBR_DFR_LD,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,F2 R F D2 B L D' F',B2 R' B2 F2 L' D' U2 L2,B2 D L2 D' B2,U' B2 D' R2 D B2,D' L D2 F2 D2 L' D2 F2 D',U' R U' R' U2 R U R',F2 R U R' F2 L D' L D L2,54
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,D F' R2 U' L' U2 F L',L R' F2 R B2 F2 R,U R2 U2 R2 U R2 U R2,F2 D2 B2 D2 F2,L2 U L2 U' L2,U B2 R2 B2 R2 U',B2 L2 U' B' U' B U B U L2 B U' B,52
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,F2 D B2 L' U B U' F',B2 U2 L' D2 B2 U2 R' D',R2 B2 U B2 U' R2 B2,L' F2 D' R B2 R' D F2 L U2,,L2 R' F2 L' R F2 U2 L',R B' R F2 R' B R F2 R2,50
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,F' U' B' U L2 D' R' B' F',F2 D' U2 L B2 F2 R,R' U R U2 R' U' R U',L2 D F2 D' L2,F2 L2 U' L2 U F2 L2,R' B2 D' L F2 L' D B2 R U2,U F' U B' U2 F U' B L R U2 L' R',59
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,D' F' R U' B' R2 F2 L',F2 U L' B2 D2 B2 L' U',R F2 D L' B2 L D' F2 R' U2,L F' U B U' F U B' L' U',B2 L2 B2 U' L2 U L2,U' R2 D B2 D' R2,F D B' D2 F D' B' L2 D' B2 D' F2,61
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,R2 U2 B2 F' U' B' R2 F',R2 U L2 D2 L' B2 F2 R,R' F U' B' U F' U' B R,L2 U' L2 U B2 L2 B2,F2 R' B F' U2 B' F R' F2,B2 R2 U B2 U' B2 R2,U2 F D B' D2 F D' B' L2 D' B2 D' F2 U,62
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,L' R' U2 F2 R F' D' B L',U' L U2 B2 U2 L' U F2,F' D2 R' F U2 F' R D2 F,R' U L R U' L' U R' U2 R,U' F2 R F2 U2 F2 R' F2 U',B2 D2 F2 D2 B2,L' B' L F2 L' B L U2 F2 U F2 U F2,63
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,L' R' B U2 F' D F' R',D2 F2 D' U2 L B2 F2 R D' L2,R U B' F R2 B F' U R',U L U' L' U2 L U L' U2,B2 L2 B2 U' L2 U L2,R D' L U2 L' D R',U' B2 L2 U' B' U' B U B U L2 B U' B U2,65
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,R' U F2 L2 U L F',D U' R' B2 F2 L' B2 U,U' B2 U' L B2 D2 F2 R U F2 D2,U2 R2 B2 R2 B2 U2,B2 D L2 D' B2,U R' B F' U2 B' F R' U',R2 U R2 B' R F D R' D' B R F' R',59
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,F D L2 F U R2 B R',D L U2 B2 U2 L' D2 L2,U' R' U R U2 R' U' R U,R2 B2 R B2 U2 B2 R B2,D' L2 F2 L2 F2 D,R U R U2 R' U' R U' R2,U' B' U B2 R2 D F' L2 F D' R2 B2 U' B,62
