scramble,orientation,Step_FD_RD_UF_UR,Step_LD,Step_BD_DBL_DBR_DFR,Step_FL_UFL,Step_BR_UBR,Step_BL_UBL,Step_FR_UFR,Step_GEN,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,F2 U' L' B' R2,U' F U,U2 R2 F' R2 F U2 F',L' B' U' F2 U B L,R' B' F' U F' U' B F R F,U R' U L F2 L2 U2 R U' L U,U R B' D' B R' U' B2 L B' L' B',,55
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,L' U2 L' D2 B',U' F U,L' B' D2 B L2 D2 L2 D2 F L,B' L' R D2 L R' B',L2 U2 B U2 F2 U2 B' U2 L2,U' L' F L F' U,B2 R U' F2 U R' B2 R U' F2 U R',,52
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D R' D2 R' B D',U' F' U,D' L D L2 F2 L' B2 L2 B2,U2 F2 R2 U L U' R2 F2 U2,R' B2 R U' F2 U R' B2 R U' F2 U,U' L D' L' D U,U2 B' R D F' R' B F U R' U,,56
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B' D' L' U B D' B,L',L2 U' L2 B2 L2 B2 F U2 L U' L,B2 R D' R' B2 U' L U,F D' F' L' F D F' L,L B R F D F' R' B' L' D',B2 R D2 L2 D2 R' B2 L,L' F L B D2 F' D' F' D F2 D2 B' F',66
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R F2 L2 D2 B U',L2,B' L' B2 U2 F2 U2 B2 L B F',B2 R F' R' B2 R B F D B' R',B' U2 L' F2 L F' U2 B,U' R F U L2 U' F' R' U,U2 B U2 F' L F U L' B L B2 U',L' F L B D2 F' D' F' D F2 D2 B' F',70
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,D2 F' L2 B2 R' D,U' F U,L2 F U' F U R2 B2 L2 R2 B2,L2 F L' F' U' F U L',F' R' F D2 R' D' F D' F2 R F R,L2 D' L' U B2 D U',U B U' B L' B' U' L U B L B2,L' F L B D2 F' D' F' D F2 D2 B' F',71
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,U' R B' R U' R2,L2 U' F U,D F D' B2 L B2 L F L2,B' D' B2 U R2 F2 D F2 U' R2 D B',R B2 F2 L' U' L B2 F2 R' D,D F' L2 F' L2 F D',U R2 D U' B2 D',L' F L B D2 F' D' F' D F2 D2 B' F',67
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R F' D' R2 B,D F D' L',L' D2 R D' R' F2 D' F2 L F2,F' D2 B2 D B' D' B' D2 F L B L' B',U L' B U2 F2 U2 B' L U',F' L2 F L2 F,B' U' B D B' U B D',,54
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L2 D' L B R,B R U' R' B',F R2 F L' F' R' F' L F R',L' F' L' F' U' R' F R U L2,D R2 U R' U' R2 B2 L' D' L B2 R D',L2 U' F' D F2 D' U,R D2 B D B' D R',L' F L B D2 F' D' F' D F2 D2 B' F',70
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,F2 D' R',,U' B2 L' D' L D R B2 R' U,L' F D' F' L F D F',L' F' R' F' D' F R D F2 L D',F' L2 F L2 F,B' U' L B' L' U R2 D F D F' R2 B,L' F L B D2 F' D' F' D F2 D2 B' F',63
