scramble,orientation,Step_BD_DBL_DBR_DFR_LD,Step_GEN,Step_FR_UFR,Step_FL_UFL,Step_BL_UBL,Step_BR_UBR,Step_UF,Step_FD_RD,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,L2 R2 B R2 D' B' L F',B R' D B' U2 L' F' U2 R,U F2 D U' R2,L' D B2 F2 U' B2 F2 L,U R2 U' L2 U R2 U' L2,L2 F2 L' U L F2 L2 U R U' R',,U2 B2 R2 F2 D B2 L2 F2 U',58
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,R U2 B2 D' F R2 B,B L2 U R' D' B2 U' B',U2 F2 D2 F2 U2 B2,L' D B2 F2 U' B2 F2 L,L' U' R' U' R2 B2 U' L2 D' L' U R' U2,,B2 U' F2 R2 B2 D' F2 L2,B F' R2 B' F D2,56
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,B R B F D' L U' R2,F' R2 B L2 F L2 F D B',B2 D B2 D' B2,L B2 D F2 R2 B2 U F2 L,U2 L' D2 U2 R,B D B' R2 B D' B D B2 R2,D B F' R2 B' F D,F2 U' B2 R2 F2 D' B2 L2,61
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,F L' F L2 B' U2 L,B2 R D2 R D B D' B' R,U2 F2 L' D2 F2 U2 R' B2,L B F' D2 B' F L,D R' B U' L' U2 B2 D' B' D B2 U' R D',R D2 U2 L' U2,D B F' R2 B' F D,F2 U' B2 R2 F2 D' B2 L2,65
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,F2 U' B' U L R2 B,B U L' F L D' U' B',,D2,L' U' R' U' R2 B2 U' L2 D' L' U R' U2,R' D R' D' R2 B2 R' D' R B2,L B2 L' R D2 R',D' L R' B2 L' R D',52
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,D2 R2 U' F2 L B2 D' F,U R F' D2 F U2 B U B',L U2 F2 D2 R F2 U2 B2,B2 D' U R2 U',R2 D' U F2 D U',B D U R F D' F' U' B2 D' B,,B F' R2 B' F D2,53
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,U2 F U L' F2 U F',B2 R2 B' D2 B' R' D' B' R,L U2 F2 D2 R F2 U2 B2,L' D L R2 B2 R D' R' B2 R2 D',F2 D2 U2 B2 U2,B2 U' L2 D' L2 U B2,U F2 L2 B2 D L2 F2 R2,U F2 L2 B2 D B2 L2 F2,63
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,U R2 B F R' B U2 L',B2 L F' R B F D' L' B,R' U2 F2 D2 L' D2 F2 U2,B D B2 F L2 U' F U' B F2 L D2 L,U B2 D U' L2 D',D2 R D2 U2 L' U2,L B2 L' R D2 R',B2 D B2 R2 B2 D B2 R2,64
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,L F2 U2 R B' U' F' R',U F U' R' B2 L B' L' B',R' U2 F2 D2 L' D2 F2 U2,L D' B' F L2 B F' D' L',R' D2 U2 L' D' F2 U B2 U,D2,,D L R' B2 L' R D,51
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,L F D L U2 L2,U F' U' B' U F U',L D' F2 U' R' U' R F2 D L' D B2,B2 R U R U' B2 R' U R' U' R,U' L2 U B2 U' L2 U,L2 U2 R2 U2 L2,,U2 B2 R2 F2 D B2 L2 F2 U',57
