scramble,orientation,Step_UB_UF_UL_UR,Step_DBL_DBR_DFR,Step_FD_RD,Step_BR_UBR,Step_BL_UBL,Step_FL_UFL,Step_FR_UFR,total_moves
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,U R2 F L' B2,L' U2 B L B' U',U F' D2 U' R2 B2 R2 B L U L' D2,U R2 D' B2 D R2 U' L2,D L2 D B2 D' L2 D B2 D2,,U' B L' R D' B D L R' B',50
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,F2 D2 L' D' F' D',R' U2 L U' L' R U',L B' U' R2 D' U R F2 D B L',U R2 U' L2 D B2 D' L2,R' F2 R' B2 R2 U2 R' U2 F2 R' B2 R2,U' L' B' F U2 B F' L' U,B L' R D' B' D L R' B' U,63
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,L2 B2 R2 F' D',B' L' U L R B R',F2 L B2 L2 R D2 U B' U' B2 R' F2,D B2 U' F2 U B2 D' L2,R' F2 R' B2 R2 U2 R' U2 F2 R' B2 R2,D' B2 D' L2 D B2 D' L2 D2,U' B L' R D' B D L R' B',63
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,B' F R2 D' L B,U B' R U' B U' R' U2,R2 U2 B2 D2 U' B U' L B' F2 D2 R2,R U R B2 L2 D L D' L B2 R2,R B2 D2 F2 L D2 B2 U2,U2 F2 U' B2 D R2 D' B2 U',B2 U' F2 D L2 D' F2 U,62
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,F2 D F L D,B' U2 F R2 B R F' R,F2 L F' U F' U' F U' F U2 L' U2 F2,R B' U B R' B' U R U R' U2 B,U R2 D' B2 D R2 U' L2,D2 B D' F' R D R' B' D' F D2 L' D,B2 U' F2 D L2 D' F2 U,67
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,B' R' D B' D B2,B' U2 F' U' B U' F,F2 R2 B' R' U B R' U' F2,B2 U' F2 D L2 D' F2 U,D' U F2 D U' R2,U2 R2 U L2 U' R2 U L2 U,U' B L' R D' B D L R' B',55
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,R' B L' U B2,B' L D' R2 D L' B,R' F U2 R F2 U F L F U2 F' L',U' F2 U B2 D' L2 D B2,D L2 D B2 D' L2 D B2 D2,U' L2 U' R2 U L2 U' R2 U2,U' B L' R D' B D L R' B',60
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,F2 R D2 B R F,F' L2 F L2 U2,R B U' F2 R2 B' R F2 R B' R' U2 R',B2 R B' D2 F' L2 F D2 B' U2 B2 R' B2,U R2 D' B2 D R2 U' L2,D2 B D' F' R D R' B' D' F D2 L' D,R B F' U2 B' F R,65
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,R B2 R' D' B L2,F R2 B' R' B R' F',B' D F2 D R B U B' D' F' U' F2 D' B,D B2 U' F2 U B2 D' L2,U' L' B' F U2 B F' L' U,D2 B D' F' R D R' B' D' F D2 L' D,U' L2 D' U B2 D,63
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D' F D' B R D,U' F2 L F2 L' U2,R2 D R' F R2 B2 R' U2 B' F' D' R',B2 R' B' R2 B' U2 B R2 B' U2 B2 R B2,D B2 D' L2 U R2 U' L2,D L' U2 L' D R' U' F2 R2 D B2 D' R' D2,R F R' B2 R F' R' B2,67
