scramble,orientation,Step_UB_UL,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,Step_FL_UFL,Step_BR_UBR,Step_BL_UBL,Step_FR_UFR,Step_GEN,total_moves
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F' L R2 F,B2 U B',U2 R' B2 U2 B D B' L' D',D L' B' L' B L D',U2 F2 U L2 D L2 U2 R2 U',L2 F' R F L2 F' R' F,D' B2 D B U' F' L2 B D2 B' D' F U L2,,54
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R B2 L' D,B' R' U' R',R2 B U2 B U R2 B2 U2 R U2,D' L B' L' B2 R F D L' F L F2 R' B',B2 U R' U' R' B' R B',B' U' F U2 B' R2 B U F' U2 B,D L U B U' L' D',,58
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' L' D,B R,U' B L2 U' L2 R B' R' U L2,D2 B2 R2 F' U F' U' F2 R2 B' D' B' D2,L U2 B R2 B' U2 L',B2 F' R' B' R B' F,D2 B L' R D2 L R' B D2,,51
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B' R F D',U B2,D2 B D2 R2 B U F U B2 R2,D2 R B D2 B' R' D2,U' F D' F2 D F L F D F' L' U,U' F' L D L' F U L2 B' L B L,R2 D' U F2 D U',,53
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,D' B' F' L',F' U F U R,F' R F' L' B' R' U2 B' L F U2,D L' B' L2 B L D',R2 D2 U F D U' R' D R2,U' L2 U B U' L2 F' D' F U,B U F D R D' F' U' B' R',,56
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,L2 B L' F',R F2 R B F2,B' L' D2 U R D2 B2 L B U' B2,D B D' B' D2 L2 F L F' L D2,L2 B2 D B D' B L2 B,L B' L' B D' L' D' L D,U2 F R F' U2 L' B2 L B,,57
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,L D' B D,B R U B,L' F R' D2 R2 B2 F' L U2 B2,L' D2 U2 B' D' B D2 U2 L,U2 R2 U' B U R2 U2,U' F2 U' R2 U F2 L D' L' U,B U F U F2 L2 U B2 D B U' F U2,B D2 B2 D' B D B D2 F' R' B' R F,70
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,U' L F',R' F R F' U',B' U' B2 R D B L B2 D' R',U R D' R' D U',D2 U2 F L' F L F2 D2 R' D' R D U2,U2 F2 L F2 L' U2 R,U L' B' L D L' B L D' U',B D2 B2 D' B D B D2 F' R' B' R F,67
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,L2 D F',R',F2 R' B2 R2 F' R B' U' R2 B' F',B L U2 F2 R F2 U L' U B,B D' B' R' B D R' B' R2,F2 D' U L2 D U',R' U2 L F' L F L2 U2 R B,B D2 B2 D' B D B D2 F' R' B' R F,63
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,F D' F,F U R' F' U2,F2 L B' F D L2 D' B L' F,U2 R2 B R B' R U2,D' L B D F' L' F2 L B' D F' D2 L' D2 F2,F D' B D F' D' B' D,R2 D' U F2 D U',B D2 B2 D' B D B D2 F' R' B' R F,67
