scramble,orientation,Step_FD_RD,Step_UF,Step_BR_UBR,Step_BL_UBL,Step_FL_UFL,Step_FR_UFR,Step_BD_DBL_DBR_DFR,Step_GEN,total_moves
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,L' U' B' R',U2 B U2,B D' F2 D2 B',U2 B' U' B U' L2,U B2 L' B2 L U',R' D B U B' D' R,F2 U' B2 D2 B' D' B D' B2 U F L2 F,,44
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,L' U L' U2 B',F L D',L B D F' D2 B',L F U' F' U L2,F2 L' D' L D F2,U2 R2 U2,B2 R2 F' D B' U' F U B D' F R2 B2,D' B R D' R' D F D' B' D L F',54
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,D R2 B R',L2 D',L' F2 D F' D',L' R2 F L' F' R2,F' L F L U L' U',L B' F2 D' B F2,R B' R B2 L2 B2 R2 F' R B R' F',D' B R D' R' D F D' B' D L F',54
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,B',F2 D2,U' F' U F L F L',F,F' L' F' L F2,B2 L' B L B2 R' U2 R B',F R B2 D B D2 R D R B F' U',F R U2 B2 D2 L B2 U2 F,46
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,F2 U2 R',B' L' B,L' F2 D F D',L' U L2 U' L2,B F D' F D' B' L2 F2,B2 F' L2 F L' B2 L,F' L' F L R2 D' U' L D L' U R2,R' B' F D L2 D' B F' R D2,53
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,L2 D B2 R',F' D2,F2 D R D' F R' F2,B2 L' B D2 B,R2 F2 L R2,B' R F R' D' B R2 F' R2,F2 R2 B L D2 F L' F2 U2 B R2 F' R' B2,D' B R D' R' D F D' B' D L F',57
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,U' L' U,,L2 F2 L' F2,L2 F' L' F L,D L U L' D' U',U' B' D R2 D' R2 D' B U,U' L D' L' U L' U L U' L D L',F U2 B2 R' D2 B2 U2 L' F,48
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,B L' R' B',L2 D',D2 L2 D2,L' U2 B' U' B U' L,B2 L2 B2 U L' U',U2 F' R B' F D' B U2,U' B F2 D' B2 R2 F' U' B2 F' L2 B',D' B R D' R' D F D' B' D L F',54
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,F R2 U' R',F2 D2,U L' U' F,F D' F2 D F',B2 F' L' B2 L' F,B2 U B' U B U2 B2,U2 R2 B F' U' L2 U2 F2 D F D' F2 U B',R' B' F D L2 D' B F' R D2,52
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,U2,F2 L D',U' R F' U F,L F' L,U2 B' U' B U',F D' F D R F R' F2,U L U F' U L2 U' L2 U' F L2 U2 L,F U2 B2 R' D2 B2 U2 L' F,47
