scramble,orientation,Step_LD,Step_DBL_DBR_DFR,Step_UB_UF_UL_UR,Step_GEN,Step_BL_BR_UBL_UBR,Step_FL_UFL,Step_FR_UFR,Step_RD,total_moves
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,L',F D F' R D2 F2 R2 F D' B,U' F2 D R' B2 F2 L D' R2 D',,U' L2 B2 U L2 U' L2 B2,R2 D2 L2 D' F2 D' R2 U L2 U,F D B U R' U' B' D' F' R,,49
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B2 L,U B R' B' D L R U' F2,D R' D2 L' R2 B2 F2 L' B2 L D',,U' L' B2 D2 F2 R' D2 B2 U',L' U' B F' L2 B' F U' L,B2 D' L2 D B2 D' L2 D,R2 U' B' F R2 B F' U' R2,57
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B U',D R' B D2 U F U' F R B',U2 L2 D' F2 U' L F2 D2 F2 L U',,R' D R' D' R2 F2 L' U' L F2,D' U R2 D U' B2,R2 F2 R B R' F2 R B' R,R2 U B' F R2 B F' U R2,57
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,D' L2,U' B2 D2 U' F' U2 B R' D' B,L2 D2 F2 U' R U' L' F2 R D L' B2,,L U' R B2 L2 B2 U2 L' U R' U2,L' U B F' L2 B' F U L,U' L2 B2 D F2 D' L2 B2,R2 U B' F R2 B F' U R2,61
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,D L2,R2 F' L D' R' U' L' F' R,B2 D2 B' U' L' U' F2 U L U B',,B2 R2 D L2 U' L2 B2 D',B2 R' U R B2 L2 D L D' L,L F R F2 L' U2 B2 L F L' B R2 B,R2 U B' F R2 B F' U R2,62
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D' B' L,B2 F' U' L2 D2 U R2 F2 D' B,L' F2 L2 D B2 R2 B2 D L',,L2 F' R' D2 R2 U2 B' R2 D2 L' R U' L F,U' B2 D' U R2 D,D' L2 D' U2 F2 D' R2 D' U2 B2,,52
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,B' U',D' B' R D B' D2 R' D' B',R F2 D' L2 R2 U B2 L2 R D',,R2 B2 L' F' D2 B' F U' L' U B' R' U' R',B2 L2 D F2 D' B2 L2 U,F2 R2 F' L2 R U R2 U' L2 R' F',R2 U' B' F R2 B F' U' R2,63
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,,U' L' D' L R B U R,L R2 D' L2 R2 U L D',,L' U' R U' R' U2 B' D B U' B' D' B L,L' U B F' L2 B' F U L,U' L2 D' U B2 D,,45
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,U' B L,B' D B' D2 B' R' B' D F,B R2 D' R U2 L' D' U2 R2 B' D,,U' B2 D F2 D2 L' B2 U2 B2 L D B2 U,U B2 U F2 D' R2 D F2 U2,L F R F2 L' U2 B2 L F L' B R2 B,R2 U B' F R2 B F' U R2,67
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,B' U',D2 L D U L F U L2 B2,R D R2 D' R' D U2 L' U2 R,,R U F2 D R D' U R U' R' F2 U2 R',F2 L' R' B2 D2 B2 L R F2,U' F2 D L2 U' L R2 D2 U2 R' D B2,R2 U' B' F R2 B F' U' R2,64
