scramble,orientation,Step_BD_DBL_DBR_DFR_LD,Step_UB_UF_UL_UR,Step_BR_UBR,Step_FL_UFL,Step_BL_UBL,Step_FR_UFR,Step_RD,total_moves
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L' F D2 B2 U L B,D' B D2 B2 D' F' R F,B' U B R B' U2 B U R',,R' B' D R2 D' B U F2 U' R,R B' D B' D' B2 R2 U R U',,44
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,D' R' F' U' F L2,R' D' B2 L R' B L' R2 D,R' B' U' L' R' B L R B U,U2 L F' L F L2 U2 B' U' B U,L2 D B2 U' F2 U B2 D',R' U R U' B' U' B U,,52
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B D2 L' U' B2 R2 F' R2,D2 B' U R F D' F' U' B2,L F R' U L' F2 L U' R F' L',D' B' D2 B' D2 B2 D2 B' D',F' R F L2 F' R' F L2,R' B' R2 F' U' R' U R2 B R' F R2,R B' R' B' R2 F D B D' B' F' R2 B2,70
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D2 F2 R' F D F2 R2,F' L B' U2 R' B U L' D' F,B U R U2 R' B2 R B U R',,R' U R U2 L' U' L U2,B2 R U' F2 U R' B2 R U' F2 U R',,47
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D' R2 B' U F2 U L F',R' B2 D B2 D B2 R' B' R2,L2 D B2 U' F2 U B2 D',L' U' L' U2 B' U B U F' L2 F,F2 U F' U' F' U2 B L F L' B' F' U2,L2 B' D' F2 R2 F2 D B L2,R B' R' B' R2 F D B D' B' F' R2 B2,71
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,L B F2 U' F' U' L',F' U R B L2 D F L2 U F,B' R' B R B2 D B D' B U R U',D2 L U L' D2 L U' L',U R2 D' B2 D R2 U' L2,R U R2 F R F' R' U' R,R B' R' B' R2 F D B D' B' F' R2 B2,67
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F' R U2 F L' D' F,U R' B L2 F' D R F2 L' D,B' R2 B F D R D' R' F' R2,,L F U2 B2 R' F R' F' R2 B' F' L B',R' U2 F U L F L' F' U R,,50
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,U' B2 U2 B' L F' R' F2,D R U R U F' L' F' U2,F' L U R' U L F' L2 R F,L2 F U' F' L2 B2 D' B' D B',U2 B L2 F2 L' F L' B' U2 F2 U F' U',R' B2 R' F2 R B2 R' F2 R2,R B' R' B' R2 F D B D' B' F' R2 B2,72
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,R U2 L D2 U' F' L',U' L2 D U2 R U' B' D B2,L F R' F2 U' F2 R F' L',B2 U2 L U2 L B2 U2 L U2 L2,B F U2 L U L' U' B' U2 F',R' U R F2 D2 B F2 R B' R' F2 D2 F2 U',R B' R' B' R2 F D B D' B' F' R2 B2,72
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,B' R U' R B' U B' U2,F D R F' D' R' D2 B F' R2,U' F2 U B2 D' L2 D B2,B U2 L2 B' L' B U B' L' U,R' U R F2 R' F' R F' U',R B2 R' B2 L' D' B' D B2 R B' L B' R',,59
