scramble,orientation,Step_DBL_DFR,Step_FD_RD,Step_BR_UBR,Step_BL_UBL,Step_FR_UFR,Step_FL_UFL,Step_UB_UF_UL_UR,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' U2 B,U B F2 D' L B' L R' U',D2,B2 D U' L2 D' U,L D' U B2 D U' L,U B2 R' F2 D2 B2 L' F2 U,U' L2 B2 R2 D B2 L2 F2 U2,44
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,D' F2 L2 B',L' R B2 F' R B' L F U' B' F,B L' D' F2 D L B' D',L F2 D2 F2 L',L D' U B2 D U' L,F2 L2 F2,D2 B2 R2 U' F2 R2 B2 D' L2 D2,48
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,L2 U' B2,R2 D' B' F L' B' U B' L' U',R' B2 R F L2 F' R' B D2 B R,D F2 D2 L2 D,L2 D' L2 U' R2 U,U L' B2 D2 B2 L U',R2 D B2 L2 F2 U B2 D B2 L2 B2 D,54
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' B' F,L' R B' R F' D' R2 U2 R' B',D F2 L2 U L2 U' F2,U2 R2 U2 F2,L F2 L' U2 R2 U2 F2 R F2 R' F2,F2 L2 F2,L' R' D2 L' R D F2 L2 F2 D F2,49
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 R B,F' R' U2 B' D' L2 R' D U' F',F2 U' R U2 B2 D2 L D' B2 U',U F2 L U2 B2 D2 R B2 U,U2 R B2 D2 B2 R' U2,L2 D2 F2,D' B' F L2 B F' D',49
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,F L U',D B' F' U B2 R' U2 B F R2,F2 L U L U' F2 L' U L' U' L,D2 L F2 D2 F2 L' D2,R F2 D' B2 F2 U B2 R',L D2 U2 R' U2,B F U2 B2 D2 B' F' U' B2 F2 D R2,56
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U L' F,R2 B U' R B' L2 U' B2 F L B',U2 R D2 U2 L' D,D L' B D R F2 R' D' B' L' D',F2 L D2 U2 R B2 U2,L D' B' F L2 B F' D' L',F2 D' B' F D U' F D' U B F,58
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,U2 B' L2,L R' U2 B R' D2 B2 D L B,D' L' D F2 D L D L' F2 D' L,,R B F' U2 B' F R,,R2 D B2 L2 B F D2 B F R2 D' R2,43
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,B' D2 F,F' L2 F R2 F2 L2 U' F R' B2,L' F2 U2 B2 R D B2 U2 L2,L2 D2 F2 D2,U B2 U2 R2 U,L2 F2 R' D R F2 L2 U L U' L',F R2 B' F' D' B2 F2 U F2 U2 B',53
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,L R2 B,R D2 B2 F2 L' U B2 F L B' U',U B2 R F2 D2 B2 L F2 U,F2 D' B2 U R F2 D2 B2 L' D' L2 U,B2 D B2 D' B2,L U L U' L U L' U' L,F' U F' D L2 R2 U' L2 R2 F U' F,61
