scramble,orientation,Step_UB_UF_UL_UR,Step_BD_DBL_DBR_DFR_LD,Step_BL_UBL,Step_BR_UBR,Step_FL_UFL,Step_FR_UFR,Step_GEN,Step_FD_RD,total_moves
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L F' L2 R' D L,B2 L2 R B R B L2 R' U' R',F2 L B' D2 R' D2 B L' F2,U L2 D2 B R2 D2 L2 F U,L U R' U R B U B' U2 L',U2 F U' B U2 R U' R' F' U2 B' U',R B' R' B' R2 F D B D' B' F' R2 B2,,69
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R B2 R2 F L' D,F2 L2 B L2 F2 U' B' R' U2 R,D' L U' L' D U L' U' F' L' F U L,B' F' U' B U L U' L' F,U2 F' U B' U' F L' U L B U,R2 B' R' D' R D R2 B,R B' R' B' R2 F D B D' B' F' R2 B2,,70
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B L U' F2 R' B',R2 B2 D L' B D' R2 B U2,L U2 L2 B U' B' L2 U2 L',U2 F' L2 B L2 B' U2 F,D B L2 F U' F' L2 B2 D' B' D B2 D',L R' U' L U F U' F' L2 R,,,55
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 U B D2 L' B,B' U F' U2 F2 U2 F' U2 B U',D' L U L' D L U' L',L U2 B F' U B' F U2 L',D2 F2 U2 L' U2 F2 D2 R',U2 F U' B U2 R U' R' F' U2 B' U',,,53
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B F' L',F U F2 L2 F L2 U,U F R' F R F2 R' U' R,R U R2 D' U' F' R' F R D R,R' B' R B2 R' B' R B',U2 B2 U B' U F R2 B2 R' B R' F',R B' R' B' R2 F D B D' B' F' R2 B2,,66
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 L B L' F' D,U' F R2 U' F' U2 R' U' R2,U B' U' F U2 B L U L' U2 F',B2 R B U' B2 U B' R',U' R' F2 D2 B2 L' D2 F2 U',L2 B2 L B' L' B2 D2 F' R' F D2 B L2,,,57
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D2 F D' B' F,R' B2 L' F2 R' B' D2 B' F2,R' U' F U L U' L' F' U R,D2 B D2 B2 D2 B D2 B,B U' B D' B' R' B R D U B',R' U R U2 F' D2 B D B2 D F U' L2 U2,,,57
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' F' U2 B L F',U R U' R D U B' U2 B2 D',U2 L' U L U2 B' D2 F D F2 D B U' R2,D2 B' U' F2 U B D' L2 D',B' U' L' B' U' L U B U,D2 R' U R U2 L' U' L D2 U2,,,58
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L B' R2 U' L2,F R' U' B' F' U2 R B R U2,L2 D B2 D' L2 D B2 D',U2 F' U' F U2 B' U B,B U' B D' B' R' B R D U B',R' U R U2 F' D2 B D B2 D F U' L2 U2,R B' R' B' R2 F D B D' B' F' R2 B2,,70
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D B L D2 L',L' F R2 F' L B2 R2 B2,L2 B' L' U L2 U L2 U' L' B,R2 B' R' B R' U F' U F U2,D B' D2 R D' L' F' D F R' D' L D2,D2 U2 L D2 U2 B2 R2 B2 R',R B' R' B' R2 F D B D' B' F' R2 B2,,68
