scramble,orientation,Step_UF,Step_FD_RD,Step_DBL_DBR_DFR,Step_BR_UBR,Step_BL_UBL,Step_FL_UFL,Step_FR_UFR,Step_GEN,Step_BD_LD,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,B,R2 U' F2 R,B D B L B2 F2,D' L' U' F D U,U' L' F' U' F' U L F U,L D' F L F L' D L F2 L2,B' D' B F U2 F2 R' F2 U2 F',,,46
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,L2 D',F' L' F' U2,L' B' F D2 B L2,D' R' D' L' R F L D,L F' D' F D,F L' B F' D B',U L D B2 D' L' U',D' L2 D B F' R' D2 R B' F,B2 R2 F2 R2 B2 L2,54
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D' L B,B U L' B',D2 L' D' B R2 B' R2 D',D U2 R' U F D' U,U2 R2 F' L2 D2 F' R2 B',L D' B D2 R F' D R F' R2 B' L2,U2 R U2 F D' F D L F2,D L2 D' L' R F L' R' D',B2 R2 F2 R2 B2 L2,66
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,L2 D',F' U2 R,B' D2 R F2 U' R' B,B2 F R F' R' B2 U2 R U R' U,F U' R F R2 U,L2 D2 L D L' D L2,R B D2 B' R' B D2 B',F R U2 B2 D2 L B2 U2 F,L2 B F D2 B' F' L2 F2,61
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,U2 B2,R2 F' U2,L F R2 F' R2,U2 R' B' D' B R U2,U' R2 U L U' R2 U,L' R F L' F' U' F' U L2 R',B2 F' L B F' D' B F2,F R U2 B2 D2 L B2 U2 F,F U2 B2 D2 B2 U2 F,58
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,R' D,U2,B2 L F' L2 F L2 B2,D2 L2 U' F U L2 D2 B D B' D',L B' R' D R B L' F',L2 F' U' R U L2,U2 F' R B' F D' B U2,,U' F2 L2 B2 D B2 L2 F2 U2,52
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,R B',F2 U2 R2,B F D' R U2 R' B' L',B R' D R F' D2 B' L2,D' R2 F' L' F R2 D L2,B L' F' L B' L2 U' F U F L2,L' D' U B D U',U B F L' B F' D B2 U',U' F2 L2 B2 D B2 L2 F2 U2,64
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,,B L' U' B' R',B' D' F R F' R' B,F L D' U L' D U',L D' L2 D2 L B R D' F2 R' D' B' L2,B' L2 U' B2 R2 F2 D' R2 B',B' F R' D' R B L',D L2 D' L' R F L' R' D',,57
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,,U' L' U,B2 L B2 F L,B2 U R U' B2 L' D' L,U L2 D B U' F2 D',L2 U2 R' F' R U2 L' B L' B',L2 R B D2 B' F R',,,40
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,L D',R' B L2 U B',R2 B2 L' F L R2 B2,F' U2 L2 F L F' L U' L U',B' U F U' R2 D B' D B D2 R2 B,B F R' D' R B' L',U2 B' R' D2 R B U2,F U2 B2 R' D2 B2 U2 L' F,F2 D' L2 B2 R2 F2 R2 B2 D F2,69
