scramble,orientation,Step_UB_UR,Step_FR_UFR,Step_FL_UFL,Step_BR_UBR,Step_BL_UBL,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,F' L B D2,D' B2 D,F' U L2 F,D' L' U2 L D,F' L F U2 L' U2 L',U B' U2 B' F' L B L B F U2 B',L2 B2 U' L2 B2 L2 U' B2 U,44
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,B2 R2 D',D B' U' B D',U2 R B' L R' U' L',U' B2 R U2 R',L2 B' L2,B U' F' L2 U' L2 U L2 B' F,D R B' R F2 R' B R' B2 L2 B2 D',45
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,U R2 F,L' B' L B U B',L2 D2 F D2,R2 F' U2 F U2 R2,U B2 L2 B' U L2 B',L2 F U' F' U B L B' L2 U2 R B R',U L2 B2 L2 B' R B' L2 B R' B U',51
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,B2 F2 R,B2 U2 B U B2,U' F2 L B L' B' F2,F' L2 U L U' F,B' L2,F R B' U' B' U B R' F',F' R B L2 B U' B' L2 B U B2 R' F,45
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,B' R2 D',B U2 F' L2 F U B',B' U' B L',B2 F' L2 B2 U' F,L' B U' B U' L,F' U' L U B L U B2 U' B' F,B2 L2 B2 D2 R B' R F2 R' B R' D2,49
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,B2 D',B U B2,F' L2 B' F U B,B F' U F,U B2 U2 L,U F' L U L2 U' L2 U' B L' B' L2 F,L' U L' B2 R D' L2 R' U' R2 F2 R2,44
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,R',L' U' B2 U B' L,L2 U B' L',F2 L2 D2 R' D2 L2 F2,D2 U' R' U' F2 R D2,F R2 B2 R' B' R' F2 L2 F U2,L' B L' F2 L B' L' F2 L2,44
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,B' D2,D' R U R D,F' L U2 L2 F,R U R' U F' U' F,D2 F' D2,U' R B' R' U2 R' F' U L2 U' F R U',F U' F R2 B' D B R2 F2 U,45
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D' F,F2 R' F2 U2 R,U B,R U F U' F' R',R D2 R2 F' R2 D2 R',B2 L' B' L U F' D' B' D L' B' F,R' F R F2 L2 F2 R' F' U R' B2 R U' R,48
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,F' L' D F',B D' U R' D,F R2 D B D' R2 F',R F' L' F R',B2 U' L2,F' L2 F U R B' R' B' U B U',F2 R' U L' D U' L' D' U L2 D2 L' U' R,49
