scramble,orientation,Step_LD,Step_DBL_DBR_DFR,Step_GEN,Step_BL_UBL,Step_FL_UFL,Step_BR_UBR,Step_FR_UFR,Step_UB_UL,Step_FD_RD,total_moves
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,B' L,R F' D R B2,L2 F' L R D L R B',U' F2 D' U L2,D F R' D' B2 D R F' D2,L2 R U' L2 R2 D R,U2 F2 L' D2 F2 U2 R' B2,,D R2 F2 L2 U B2 L2 F2,52
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,F2 L',D' F2 D2 B2,L' R U B L' U' R' B' L,B2 L' B U' B' L B U' L' U' L U2 B,L U L2 R2 D' L R2,D,D R2 U' L2 U R2 D',B F' R2 B' F D2,D R2 F2 L2 U B2 L2 F2,57
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,U B L,B2 D2 R' F R2 B2,U L B D B2 D' B L' U',R' U R' U F2 U2 R2 D R D' R',L' B' F U2 B F' L',B2 U R2 U' B2,B' D2 F' R F R D2 L D' R' D L' B,B2 L' R D2 L R',D' F2 L2 B2 U' L2 F2 R2,68
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,U' B L,R B2 F2 D' R,B R' D' L' F L2 B' L' B',D2,L' D L D2 L' D' L D',R2 F R' B' D2 F2 L' F' L B F2,L D2 F2 U2 R B2 U2 F2,D R2 B2 R2 D B2 R2 B2,D' F2 L2 B2 U' L2 F2 R2,61
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,L,F L2 U' B2 F2 L2,B U' F U' L' F' D' B U,B' D2 F' R2 F2 D2 F' R2 B R2,L2 U' F2 D F2 U,D R D2 U2 L' U2,L2 R' U' L2 R2 D R',R2 B2 R2 D' L2 F2 L2 D',R2 F2 L2 B2 L2 F2,59
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,F' U,L D' U' L' D F',F' R' F D R D R',L' B F' D2 B' F L',D' R' D B2 D R D R' B2 D' R,L2 U2 R2 U2 L2 D,U B2 U' L2 U B2 U',F2 D2 L2 R2 U' L2 R2 D' F2,U' B' F R2 B F' U',62
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,F L',B2 R' D F',D2 L B' D R' D' B L' D' F,U' F2 D' F2 D F2 U,U2 L' D2 U2 R,L2 R U L2 R2 D' R,L F R F' U2 B L' B L B2 U2 L',B2 L' R D2 L R',L' R B2 L R' U2,59
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,B' L,D B' R B' F2,R' B F' L' U F D L,D F2 D2 U2 B2 U2,B2 R' D' R' D B2 R D' R D R',B' R' F R F2 U2 B L B' U2 B F,R D L2 R2 U' L2 R,D B2 R2 B2 D2 R2 B2 R2 D,,60
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,D' B' L,R2 D' B2 R' F2,R U' L2 D U R B D B2,U2 R2 D2 R2 U2 L2,D' R2 D U' B2 U,R' D L2 R2 U' L2 R',U' L2 F2 R D' L' U2 L' U R U' R',D' L2 R2 U' L2 R2 D2,,55
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,F L',B' L' U2 L D F2,F' D' U2 F D U2 B R B2 F,,B D B2 F L2 U' F U' B F2 L D2 L,D2 L' R2 D' R' F2 L2 U2 R' U L',L2 U' F2 U L2 D',U B F' L2 B' F U,,55
