scramble,orientation,Step_UFL,Step_BR_UBR,Step_BL_UBL,Step_FR_UFR,Step_GEN,Step_UB_UF_UL_UR,Step_DBL_DBR_DFR_LD,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,L,D' F' L D,R2 F R2,B F' L' F U2 B',U F2 L' F2 U' R U' B' R',R2 D B F D2 U2 B F U' L2,U' B2 D' R2 U R2 B2 D L2 U' L2,44
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F L,U2 F' U' F2,D U L D' B',U2 L R2 F' L' R2,U B L2 D' B F R' B2 L U2 F',B2 R2 B2 U2 R' D L2 R2 U' R' F2 L2,F U' B U2 F' U F U2 B' F' U',51
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,F L,F D' L F2 D,R' F R' D2 R2 U2 L2,U' R' U' R,B2 L2 B U' F' D2 B2 L B' L2 F,U B2 R2 B2 U L2 F2 L2,B' R B' L2 B R' B' L2 B2,46
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,F L,U2 L U' L' R2 B R2,U2 F2,D2 B' D2,U' F' D L D' R' D' B' D R F,U2 L2 U L B' F D2 B F' L D' R2,R' F2 D' L' D F' R B' R' F' R B,49
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,F' D',F2 U2 F U' F,U B U' L B',B' F2 L B2 L' D B F2,U L2 R D2 L B R' B L,L2 B2 L2 U R' D2 F2 U2 L B2 U2 R2,B2 R' U' R U B2 L U L',50
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,F' D',F2 R U R',R' F R,U2 B R B' R' B',B L U' L2 D' B2 D L B',U2 F2 U' B2 F2 D B2,U R' F2 D' L' D F' R B' R' F' R B,44
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,D L,U' B' R B F' U F,U F U' F2,R' U2 R2,D2 F2 D' R' B R F L' F D2,B2 L2 D B2 L2 B2 D L2,U B2 R' U' R U B2 L U L' U,45
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L,U B' U B F2 L' F2,U L R2 D L' R2,B D L' D',L2 B' U2 R' U R2 U' F' U R' B,U' F D' U R' B2 R D U' F' D2,R D L D2 R' B2 U2 R D R' U L2,52
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,L',F' R U2 R2,U' B2 R' F2 R B2 L,L U B U B2,L D' U' B' L' D R F D' R' B,R2 U' L R2 U' L B2 U B2 L D L,R' F L F' D2 B R' B R B2 D2 R U',53
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,R' B',U' L2 R' D L2 R,F',L F L' R2,R B L R' F U' F' L',U' B2 U' F2 R2 B2 D' F2 L2,L' U' L D L D' B' L U' L2 U2 L B,43
