scramble,orientation,Step_UB_UF_UL,Step_BL_UBL,Step_BR_UBR,Step_FR_UFR,Step_GEN,Step_GEN,Step_DBR_DFR_FD_RD,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,F D' B' F,D2 U' L D2,R' F' U F R',B L U2 L' B',L2 D R' F2 R D' L2,L2 D R' F2 R D' L2,F R F' L2 F R' F' L2,40
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B2 U2 L2 R' D,L' U' L,U2 L F' U' F L',D B2 D',R U' L U L' R',R U' L U L' R',U2 B' F R2 B F' U',37
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,U2 R2 B F L',R' F U F' R,R' U2 B' R B,R2 U2 B2 R' B2 U2 R2,L' U' L2 U' L2 U2 L,L' U' L2 U' L2 U2 L,U L' F2 D' R B2 R' D F2 L U,45
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,L B' U' L2,R' U' R F2 R' F2,R2 D' F2 D,L F2 R' F2 L',R' U L U' R U L',R' U L U' R U L',U2 F R F' L2 F R' F' L2,40
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,D2 U' L B F',B2 F2 D' R' D R2 B2 F2,U R2 U R',B2 L U L' U' B2,U L U' L' U' L U' L',U L U' L' U' L U' L',B U' B L2 F' D F L2 B2,46
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,F' L' R' D L,L' B' R' B U2 L,B2 R B2 F' U F,R B' U B R,L U2 R U' L' U R',L U2 R U' L' U R',U B2 U2 B2 U B2 U B2 U2,43
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L B' R F D',B U2 B' F2 R F2,U' R U R2,B2 U B U2 B U B' U B',R' U L U' R U L',R' U L U' R U L',L2 F2 U' B2 D2 R2 F2 D' B2,47
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D' B D2 B',F' L F L',U' B' U R2 B,D U' L U L' D',U2 L U2 L',U2 L U2 L',U2 B2 U2 R2 U' B2 U' R2 B2 U' R2,39
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L' F' L D' F',F' D B' D' F,U B' R2 B R,B2 R U2 R U2 R' B2,F U' L U' L' U2 F',F U' L U' L' U2 F',B2 D2 R2 D R2 D B2 L2 U' L2,46
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,D L B F' L',L' F2 R F2 U2 L2,U R' D' F' D,R U2 R2 U' R' U' R',L' D' L U2 L' D L,L' D' L U2 L' D L,D' R2 D L2 D' R2 D L2 U2,45
