scramble,orientation,Step_BD_DBL_DBR_DFR_LD,Step_UB_UF_UL_UR,Step_RD,Step_FL_UFL,Step_FR_UFR,Step_BL_UBL,Step_BR_UBR,Step_FD,total_moves
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,F L' F L2 B' U2 L,B' D' L' F L' U2 F' L2,R2 B' D U' B' D' B U R2 B,,D' U F2 D U' R2,F2 R U' R' F2 L2 D' L' D L',F' L F2 D F D' F L' F R U R',,53
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,R U2 B2 D' F R2 B,D B U L' R F2 L R2 U',R U2 L' U L B R' B R B' U R',,R F R' B2 R F' R' B2,R2 D' U F2 D U',F' L F2 D F D' F L' F R U R',,54
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,L2 R2 B R2 D' B' L F',L D2 B D2 B' D2 L',L2 F' D2 B' D L U L' D F L2,D2 L' D' L D L2 F2 R U R' F2 L2 D2,R F R' B2 R F' R' B2,U L B' F U2 B F' L U',L B' L F2 L' B L F2 L2,,65
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,F2 U' B' U L R2 B,B' U' L2 D' L' D' U' F U2,F' U' B' U R' B F D2 L B L' D2,U B2 U F2 D' R2 D F2 U2,R D' L D R2 F2 D' L2 U L D R U2,D2 L R D R2 B2 R2 D L' R',R' D F' R B2 R' F D' R,,69
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,D2 R2 U' F2 L B2 D' F,B D L B L D2 B L' D2 L2,B' R2 D' R' D U F U F' U2 R B R2,,R F R' B2 R F' R' B2,U R2 U' L2 D B2 D' L2,F' L F2 D F D' F L' F R U R',,59
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,U R2 B F R' B U2 L',U' B' U' F2 D L F U2 B',D' R' D B R B2 R D' R' D B' R',D2 L' D' L D L2 F2 R U R' F2 L2 D2,U2 R2 U L2 U' R2 U L2 U,L2 D' U B2 D U',,,57
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,U2 F U L' F2 U F',R' B2 L' D' U F D2 U' L,U' B' L B2 D2 U2 F' R D2 U' B',L' R2 D L D2 R2 B2 R D' R D2 R2,,,D B2 D' L2 D B2 D' L2,,47
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,B R B F D' L U' R2,R' D2 L B L' D R,D2 B' F2 D U2 L' U L R2 D' U B D2,D2 L' D' L D L2 F2 R U R' F2 L2 D2,L2 D' U B2 D U',U2 F2 U' B2 U F2 U' B2 U',D' U L2 D U' F2,,62
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,L F D L U2 L2,B' F U L' U B U2 F2 R2 F,B2 F2 R B' L B' R' B L' B' F2,U2 F2 D' R2 D F2 U' B2 U',,F2 R' F L2 U F' R2 F U' L2 F' R' F2,L2 U R2 D' B2 D R2 U',,57
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,L F2 U2 R B' U' F' R',U' R' D2 L B L' D R U,D F2 R' B' R' B R2 B2 R' B2 F2 D',D2 L' D' L D L2 F2 R U R' F2 L2 D2,B2 U' F2 D L2 D' F2 U,D' U2 F2 U' B2 D R2 U' L2,F' L F2 D F D' F L' F R U R',,71
