scramble,orientation,Step_DFR_UF_UR,Step_BL_UBL,Step_BR_UBR,Step_FR_UFR,Step_FL_UFL,Step_FD_RD,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' B2 D2 B' D',U L U',L2 F2 L2 R U R',U' B2 F' L B2 F U,L F2 L' F2 L F2,F' U' F2 U F R' U' F' U R,37
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,B2 U2 R2 B U',D L F' L' D',B F2 L2 B' F U F U,B2 L F L' B2,F2 U' F' U L2,D' L2 U L' R B' L' R' D,37
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,U' R' B U',B' F U F' U' B,B' D F D' B,R' U' F' U2 F U2 R U,L',U L R2 F2 L' R2 B' R B R2 U2 R,36
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,U2 R B' L D',B' R2 D2 R2 B,L' U L U2 F U,U2 B F' L F U' B' U,B' U' B,U2 L' U' L2 U L2 F U' F' L',37
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R F L2 D2 U',U' B L' U' L2 B',B U2 F2 L2 B',B U' F' L F L' B L B2,L2 U L' U',B' F U F' U' B2 F2 L' F' L B' F2,41
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B2 F L' B L2 D',U2 R U R' U F2,L2 D R' D R D2 L2,U' R' U' R U2,L F L2,U L R' F' D R U' R' D' R U L',39
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,F' L' U B2 R,R F' D F D' R',D R2 D' L2 U,F' D2 U2 R' D2 U2 F,L R' F2 R U' L' U2,L' R' U2 L2 F' U2 L2 U2 F' L' R,41
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,L2 R U B2 R,B' F R' D R B,R' F R2 D R D' R2 F',B' R2 F' D2 R2 B' L2 B2,F D' L2 D,U' B U2 B2 R2 F D R' B R2 F' R,43
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D B' U2,R B' R F2 R2 B' L' B2,L2 F2 U L' U' F2,F U F' U B L2 U B',F U' F' U L2,B L U L2 U' L2 B R D2 R' B2 U L,43
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,B2 L2 B L' D',F' U L U',U2 R2 U R U' R2 U2,R' U2 R2 B' R' B U',B L' B2 D' B' D B2 L,L U' F D2 L2 D F D' L2 D2 F' L' U2,44
