scramble,orientation,Step_UF_UR,Step_FD_RD,Step_DFR,Step_BL_UBL,Step_BR_UBR,Step_FL_UFL,Step_FR_UFR,Step_GEN,total_moves
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,L2 B2 D',F' L' F' U2,R2 B2 R2 B2,F L2 D' L' D,R' B F' U2 B' F R',B2 L2 B2 R2 F L2 F R2,U' R' F2 R U2 B2 L B2 U',U B U' F' U B' U' F,48
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,D2 L' D2,D2 U' B' R' D2,B2 L2 F' L B2,B R' F' D F D' R B',D F2 D' F',L2 R B D2 B' R',B2 R' D' L2 D R B2,U L' U' L U B L B' U',47
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,F R' B,B U L' B' L2 U,L' R2 F' R2,L' D' L D L2,R2 B U B' U' R' U R',R' F U2 L' U2 F' R,U' R' U L F L' U2 R U2,L U B D L' D' L' B' U',51
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D' L B,B U L' B',R' B' U B R,D U2 R D' U2 F2,F R U2 F U2 F' U2 R',D F2 D',U B L' B L B2 U',R2 B2 R F2 R' B2 R F2 R,45
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,U L2 B D',U F U2,B2 L F' L B2,F' L F L',D U2 R' D' U2 F2,L F' L,U R' U2 L F2 L' U' R U2,R2 B2 R F2 R' B2 R F2 R,43
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,R B2 D' B,F2 U2 L2 U,L2 R2 F' R2,D2 F U' R2 F' D2 U,B' F2 R' D2 R B F',F' L U L' U',,L R' F L D F D' F' L2 R,41
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,F2 L B' D',L2 U' L U2,R2 F' R2,F L F2 D F D',L2 F D F' D' L2,L2 D' L D L' F L2,U F2 R' U' R F2 U',F' L2 D F D' F' L2 F2 L F' L',48
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,L D' R',B L2 U B',B2 L2 F' L B2,F' D' L' D F,F2 L F',U B U B2 U' B U',U B L' B L B2 U',L R' F L D F D' F' L2 R,44
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,L2 B2 D',F L' F2 U2,B2 L' B2,L R2 D F D' R2,L2 F' U' F U,L U2 R' U F' R U L',B' R' D2 R B2 L' F2 L B',B' F' L' B D U' F L D' L' U F,50
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,B' D2 B,U' L' U,B2 L B2,L F',F' L F' L2 F2,D U2 B' U' B D' U',U2 B' R B R' B U' B' U',L2 F' L2 B R' F' D2 F R B' F L2,44
