scramble,orientation,Step_UF,Step_BR_UBR,Step_FL_UFL,Step_FR_UFR,Step_BL_UBL,Step_GEN,Step_DBR,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B',F2 D R' D',L2 U L2,B U' L U2 B',U' L' B' U2 B L,L B2 U' R' U B R2 F' R' B L',U2,31
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,B',D B2 D' R2,U' L' D' B2 D,U2 R' F' U2 F U' R,R2 F2 D' F D R2,U' F R' F' R B' R' B,U2,32
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R' B',L F2 U' F L',L U2 L2 B L B',D U' B2 D',U R F2 L,U R' F' L2 F L2 F' L2 R,U2,31
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' D,B U B' R',F2 L2 R2 F' L2 R2 F2,R' F2 R U2 B2 L B2,U L,F' U2 B2 L' F2 D2 B R B R2 F',U2,34
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,B,F U F2,B D B',R2 B' D B,L2 U2 B' U2 B U2 L2,L' U' B' U F R' B' R B2 F' L,U',30
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D',U L2 R F L2,U2 L D' B' U' B D L',U2 B U' B',F',B' R' D F R F' D' R B,U2,29
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D',U' L2 U2 F,B2 L2 R D L2 R' B2,U2 B U B2 F2 D B F2,B L2 U' L B',R B' D' R' B F2 U' F R F,,36
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' L B,L2 D2 R D2 L2,L U2 L',B2 F2 D2 B D' B F2,F' U2 L2,F L' B L' F D2 F' L B' L F',U2,33
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,U L' B,L U2 F2 L',R' U F2 L F2 R,B U' B' R' F' U2 F R,U2 F2,F2 U B F L' F' D F2 D' B',U',34
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,D L B,R2 D R D',U B' U F R2 F' U' B,U' L R' U L' R,F D2 B D2 R2,F' U2 B L D2 U2 B' R F L2 R2,U,38
