scramble,orientation,Step_FD_RD,Step_FL_UFL,Step_BR_LD_UBR,Step_BL_UBL,Step_FR_UFR,Step_DBL_UB_UF,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D L R2 B',F L2 D,U2 R2 U R U F2,D R D2 F D2 R' D',B F2 L' F2 R U2 R2 F' L F R B',L' B L' F2 L B' R' D2 L R,42
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,F2 R B,L2 D F' D2,R2 B F' U2 B' R2,L D' U2 B D B U2 L',F L' B' R2 B2 R B2 R B L F',B2 U B F' L2 B' F U B2,41
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,R',F2 L' D L D2 F2,U' R D' R2 D U,F',F' L D L' U R' D R D' U' F,F U2 B2 D2 B2 U2 F,32
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F L2 R B',F2 L2 F D',F2 L D L F2 L2 F2 L2,F L B' D' B L',U2 R B2 R' B L2 B' L' B L' U2 L',D L2 R2 D' L2 B2 F2 L2 U' B2 F2,45
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,U' L' R2 B',B U2 R2 U2 B',L2 D2 B' R' D' R B D L2,F2 D F,B2 L' B2 R2 B' U2 L' U2 B R2 B2 L B2,L' B L' F2 L B' R' D2 L R,44
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R F2 U',D L D2,B2 F D' F L2 D B2 F2,B2 L2 F' L B2,R D L' R F' L2 D2 R D2 L' F' R2 F',B2 R2 U F2 R2 B2 D L2,40
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B' L2 U,U' R U' B U2,L2 D L2 B R U' R' B',D L' D,B' F U F2 L2 D' F2 D2 L' U' B F R2,R2 B2 R2 B2 F2 D B2 F2 R2 B2 R2,43
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,R' F' R' U',D',R2 U' R' U R',F U2 R2 U2 F2,D F2 D B' D B2 D R D' R' B' F2 D',F2 D L2 R2 U' F2 L2 R2 D' B2 F2,39
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B R,L U' F' U L',U' F U2 L2 B D L2 U',L2 D2,B2 U2 F U' L D2 U' R' D2 R U2 F' U2 B2,L2 F2 L2 R' U L' D2 L U' R,41
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F2 D L2 U2,L U B U' B' L' B,L D' L F' D L',F2 D F,D2 R' F' U F2 L U2 R B2 L2 B' L2 D2 U,L2 R2 D2 B2 F2 U' B2 F2 D2 L2 R2,45
