scramble,orientation,Step_GEN,Step_DFR,Step_UB_UF_UL_UR,Step_FD_RD,Step_FL_UFL,Step_BR_UBR,Step_BL_UBL,Step_FR_UFR,total_moves
F' L2 U R' B2 U F2 L' R2 U' L2 U2 L' U2 R U L2 R2 U B2 R F',x2,B2 U' F' R2 F' D' B',B2,D' L2 B2 U' L' B2 F2 R D',L2 U' R' B D F2 D' B' R,D2 F2 L2 F2 L2 D2,F2 R B' R F2 R' B R',D2 R2 D L2 D' R2 D L2 D,U2 R' B' U F U' B U F' R U,60
F R D U2 R L' D F2 D' R2 F U' B' L B U2 D2 L' R2 F L2 D U' F' R,x2,B' L' F' D' R B' L',D' B2,L F2 D2 B2 D2 U2 L' R2 D,B R' U' F2 U R B' U' F2,D2 U2 L2 D2 U2 R2,R' B' R F2 R' B R F2,U' F2 D R2 D' F2 U,U2 R' B' U F U' B U F' R U,59
L' U B F2 U2 B2 D2 U2 L' F' L D' F B L2 B R F' B D' R2 U2,x2,B' F L' D R2 B' R',U2,F2 R2 F2 U' L2 U',B' R2 U' F2 R F2 U R2 B U',U' B2 D' U R2 D,B' U2 B D2 B' R U R' U B D2,D' F2 L2 F2 L2 D,U B2 U B2 D' R2 D U2,55
R2 F' R' L' D R B' R D' L' D B F R' F R' B2 L U' F2,x2,L2 U F' R' F2 L F',U,U B2 R' B2 F2 L' D2 R2 U F2,U' F2 L U2 F2 U2 L' F2 U,,F2 L2 F2 D F2 D' L2,L U L U' L2 U L' U' L',D' F2 L2 F2 L2 D,49
B U2 D2 L2 U L2 U' R2 D L' D' F R F' R L2 D2 R B U2 F2 B L2,x2,B D' F' R' F D' B',U',U' L2 D B2 U2 R2,U F' R2 U B2 R B2 U' R2 F,L2 F2 L2 F2,R' B2 F2 L D L' B2 F2 R U',U' F2 U F2 U' F2 U,U B2 D L2 D' B2 U',52
B2 L R' F2 B' D' U L' R2 F R L' F2 L' B' L' F2 B' U' R' U2,x2,U B2 F' D F' D' B',,R U2 F2 U2 R' D2,B2 L2 D F2 D' B2 L2 U,L2 D F2 D' L2,R' D L R2 U2 R U' L' B2 U' R2 D',U' F2 U F2 U' F2 U,U B2 U B2 U' B2 U',52
U R F2 R2 U F' L D B' R' F B2 U2 B D' U' R2 U B' F',x2,B L F D' R B R',U2,U B2 R B2 F2 L' D R2 D',U' R B2 U R' B2 R U' B2 R' U',L2 D' R2 D L2 D' R2 D,L D' U' F2 D R2 U2 L' U R2 U2,U L2 B2 L2 B2 U',L2 R2 D F2 D' L2 R2,60
F2 B2 L' B2 R' B U' L F2 L' R' U2 D' L' D F B' L2 B2 D2 B2 D',x2,U' R' F' R' B' U2 F',U,D' R' B2 D2 B2 R D L2,,,B' L U L F2 L' F2 U' L' B,U L2 U' L2 U L2 U',L2 R2 D F2 D' L2 R2,40
D2 U' L' F2 D2 U R F' D2 L2 B' R2 U' R D' L' F2 D2 R' B',x2,D' L' D' F D' U B',R2,U L2 R2 B2 U,U' R B2 U R' B2 R U' B2 R' U',L F' U B U' F U B' L' U',L2 F2 L2 U' F2 U F2,L2 D2 B2 U' R2 U' R2 U2 B2 D2,D' F2 U B2 U' F2 D L2,59
R2 L' B' R U2 F2 L' B2 L' U D2 B2 D L2 R' D2 U L2 U F L2,x2,B2 L2 R2 U B' U B',U2,R' B2 U2 B2 D2 U2 L U B2 F2,U2 R U' R' D2 L U L' D2,L2 B R B' L2 B R' B',U' R2 F2 R2 F2 U,U L2 D' B2 D L2 U',U' R' B2 L' D' B R D B2 L B' R,60
