method,total_solves,avg_total_moves,num_steps,avg_moves_per_step,num_algs,score
rand_d2de834a,10,45.2,5,9.04,0,0.022124
rand_035dc440,10,47.6,5,9.52,0,0.021008
rand_d5674afb,10,51.1,5,10.22,0,0.019569
rand_0f182df5,10,45.5,5,9.1,0,0.021978
rand_b198a04b,10,49.3,5,9.86,0,0.020284
rand_251312f7,10,49.2,5,9.84,0,0.020325
rand_0dc6e0be,10,44.6,5,8.92,0,0.022422
rand_19fe5db6,10,47.2,5,9.44,0,0.021186
rand_5c156810,10,49.0,5,9.8,0,0.020408
rand_b7ec625e,10,48.5,5,9.7,0,0.020619
rand_274cf239,10,46.1,5,9.22,0,0.021692
rand_e10cce27,10,49.9,5,9.98,0,0.02004
rand_fd25393e,10,47.2,5,9.44,0,0.021186
rand_54fe9754,10,49.6,5,9.92,0,0.020161
rand_62d7cf61,10,49.8,5,9.96,0,0.02008
rand_34cf3322,10,49.2,5,9.84,0,0.020325
rand_7ac8a946,10,49.6,5,9.92,0,0.020161
rand_1001a400,10,47.0,5,9.4,0,0.021277
rand_70e47f68,10,48.7,5,9.74,0,0.020534
rand_48e958d1,10,50.3,5,10.06,0,0.019881
rand_cb5b6998,10,49.9,5,9.98,0,0.02004
rand_6abc6bb0,10,48.4,5,9.68,0,0.020661
rand_d77ec057,10,50.4,5,10.08,0,0.019841
rand_5cea041b,10,50.8,5,10.16,0,0.019685
rand_16e35908,10,51.8,5,10.36,0,0.019305
rand_e36a8338,10,45.3,5,9.06,0,0.022075
rand_c8c982dd,10,47.6,5,9.52,0,0.021008
rand_9ec0d08c,10,48.4,5,9.68,0,0.020661
rand_202b7760,10,49.6,5,9.92,0,0.020161
rand_2d62c4cb,10,51.1,5,10.22,0,0.019569
rand_f25c7ff1,10,47.5,5,9.5,0,0.021053
rand_771150b2,10,46.8,5,9.36,0,0.021368
rand_2212648b,10,49.3,5,9.86,0,0.020284
rand_f08efc15,10,48.9,5,9.78,0,0.02045
rand_5baa8810,10,47.6,5,9.52,0,0.021008
rand_4ef28d0b,10,46.4,5,9.28,0,0.021552
rand_3895d9dd,10,50.8,5,10.16,0,0.019685
rand_87ba23c5,10,49.2,5,9.84,0,0.020325
rand_f2ac2736,10,49.5,5,9.9,0,0.020202
rand_a04ed355,10,49.3,5,9.86,0,0.020284
rand_109b6568,10,46.3,5,9.26,0,0.021598
rand_c627729e,10,46.7,5,9.34,0,0.021413
rand_7c803e98,10,49.5,5,9.9,0,0.020202
rand_7d216d18,10,44.4,5,8.88,0,0.022523
rand_6ee28f77,10,49.3,5,9.86,0,0.020284
rand_f107a287,10,46.4,5,9.28,0,0.021552
rand_ace6fd2b,10,48.0,5,9.6,0,0.020833
rand_4950ef61,10,49.4,5,9.88,0,0.020243
rand_ab42213c,10,49.9,5,9.98,0,0.02004
rand_c81463e1,10,45.8,5,9.16,0,0.021834
rand_9bf999a1,10,46.3,5,9.26,0,0.021598
rand_e5acdfe8,10,50.0,5,10.0,0,0.02
rand_d519e9b0,10,50.0,5,10.0,0,0.02
rand_d685e935,10,49.1,5,9.82,0,0.020367
rand_a11c5bcf,10,45.2,5,9.04,0,0.022124
rand_f9976518,10,49.1,5,9.82,0,0.020367
rand_5fefba7e,10,50.5,5,10.1,0,0.019802
rand_7413bec2,10,50.5,5,10.1,0,0.019802
rand_f9e8cf68,10,50.4,5,10.08,0,0.019841
rand_e1c6992d,10,48.0,5,9.6,0,0.020833
rand_a45c8fc0,10,47.0,5,9.4,0,0.021277
rand_0ec2fa67,10,49.8,5,9.96,0,0.02008
rand_df0e7a82,10,48.2,5,9.64,0,0.020747
rand_0e458d61,10,48.0,5,9.6,0,0.020833
rand_22f846d3,10,45.6,5,9.12,0,0.02193
rand_0ddb0a97,10,47.0,5,9.4,0,0.021277
rand_7cc2f2a5,10,49.0,5,9.8,0,0.020408
rand_69de0f04,10,47.3,5,9.46,0,0.021142
rand_f523d4e5,10,51.5,5,10.3,0,0.019417
rand_2d6f1a78,10,48.2,5,9.64,0,0.020747
rand_72ece9a3,10,46.2,5,9.24,0,0.021645
rand_42e14e58,10,48.0,5,9.6,0,0.020833
rand_ad0ecbd9,10,48.4,5,9.68,0,0.020661
rand_35d77d77,10,46.9,5,9.38,0,0.021322
rand_d89bb35e,10,48.5,5,9.7,0,0.020619
rand_9eaddaa2,10,49.1,5,9.82,0,0.020367
rand_1d389624,10,47.8,5,9.56,0,0.020921
rand_63b900d6,10,49.9,5,9.98,0,0.02004
rand_f53067f5,10,48.4,5,9.68,0,0.020661
rand_83932222,10,51.5,5,10.3,0,0.019417
rand_6f9fe467,10,46.4,5,9.28,0,0.021552
rand_991df126,10,52.3,5,10.46,0,0.01912
rand_b7be146e,10,47.3,5,9.46,0,0.021142
rand_424d8e82,10,50.2,5,10.04,0,0.01992
rand_55c0fad4,10,50.6,5,10.12,0,0.019763
rand_d717f7bc,10,51.5,5,10.3,0,0.019417
rand_28c5b89f,10,49.0,5,9.8,0,0.020408
rand_d86186be,10,47.5,5,9.5,0,0.021053
rand_750a16a1,10,47.3,5,9.46,0,0.021142
rand_00436faf,10,46.0,5,9.2,0,0.021739
rand_927efa98,10,48.0,5,9.6,0,0.020833
rand_d294f2f2,10,46.6,5,9.32,0,0.021459
rand_a4c2fdfc,10,48.3,5,9.66,0,0.020704
rand_28c075a7,10,48.6,5,9.72,0,0.020576
rand_1af98432,10,49.2,5,9.84,0,0.020325
rand_3f718a05,10,47.5,5,9.5,0,0.021053
rand_a8191e7e,10,49.1,5,9.82,0,0.020367
rand_00c8759c,10,49.7,5,9.94,0,0.020121
rand_61a013e5,10,50.1,5,10.02,0,0.01996
rand_e265a85d,10,52.0,5,10.4,0,0.019231
rand_4e5cc58e,10,45.3,5,9.06,0,0.022075
rand_19648e63,10,47.9,5,9.58,0,0.020877
rand_80a6db4c,10,48.9,5,9.78,0,0.02045
rand_3300c525,10,49.3,5,9.86,0,0.020284
rand_3abd4e6b,10,48.9,5,9.78,0,0.02045
rand_12ec5606,10,47.5,5,9.5,0,0.021053
rand_36df9643,10,50.0,5,10.0,0,0.02
rand_b3e68d5e,10,49.3,5,9.86,0,0.020284
rand_10be4bdd,10,51.1,5,10.22,0,0.019569
rand_47ad3685,10,50.3,5,10.06,0,0.019881
rand_7a174626,10,51.4,5,10.28,0,0.019455
rand_f1e9f382,10,47.2,5,9.44,0,0.021186
rand_ecc7e00c,10,46.6,5,9.32,0,0.021459
