scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,B2 D U L' F2 D,D L F' L2 D F D2,B2 L' U' B' L' U L U B2 U' B,R2 U2 F2 L2 F' R2 B' D2 R2 F' R2 B',B U L U' F2 D R' D R D2 B' F2,48
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L' F' L2 F' R',L U B F U' F' U',U2 B U B2 F' L' B' L F' D2 B' F2,U F' L U' L U L' B L' B' F U',,36
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R B2 L2 F U F,B' L2 B' U B2 L2,D2 L' U' L2 B2 D2 B2 U L D2,F' D F L2 D R' D' B D B' L2 R D',U' B U B2 R2 F D F' R2 B,45
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,L2 F' D L2 D2 B',F2 D R' B' D2 B R D2 F2,B2 L2 F2 D2 F' R' F' L2 B2 U2,U' F' U2 B2 L B L B' L2 B2 U2 F U,,38
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L D B' U2 R,B2 U2 L2 B U' L B U',L' B L U2 B U2 F2 D B' F2 U2,L' F R F R2 B' R2 F' R' F' L,B2 U L2 B' L B L U' B' U L U' B',48
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,R' U2 R2 D L' D,L F2 R' D' B' R D2 F2,R2 F D' L' D' L F L F2 R2,F U' L2 U F D2 B' R' U2 R B D2 F2,B2 U L2 B' L B L U' B' U L U' B',50
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,F L2 U' R D2 R2,L B' U2 L U' B' U2 B2,B U2 F2 L B' D L2 B D F2 R U2,F U F' L R B2 L2 U B' U' L R',R U R2 F R' B' D B R F' R U',50
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,B U' L D' L2 F2,B U' B2 L' U F' D' L2 F,U F2 D' B F D' B2 D F2 R F' U',R' D2 L2 D' L B' L D' B' D B D' R,,40
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L' B D B F' R,R2 U2 B2 U' B2 L2 U' R2,U' B' L' D2 B' D B D2 B L B' U,U L' R2 B' R' D' B D L R' U' R2 B R2,U' F' D' B' D2 F' D B' D' R2 D' F2 L2,53
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,B' U L' F' U' F,L B2 F U' B2 F D' F2,B U R' U R' B2 F' U' B2 F R2 U2,D' L2 B' L2 U' L' U2 B' U' B2 L D,U' B2 L2 B2 U B' R U2 F' D2 F U2 R' B,52
