scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,B2 D' U2 B2 D2,U F R' B' D' B' D2 F' U',D F L F L F2 R' D' R D',D' B2 R2 U R' B' R' B R2 U' R2 B2 D,B' R2 B D' F' U2 B' F' U' B F2 D,49
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L B2 R2 F L2 R2,L D2 U2 F L2 D2 U2 B' L',L' F2 D B R' F D' B2 F L U' B,L2 D B' U2 F U' R' F' R U2 F2 U B D',,41
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,D2 B' R2 D L' U,B U L R2 B L' R B' U',B2 D R2 D' F' U' R B2 F D2,R D2 U' R B2 R' B R B R' D2 U R',F U2 R2 D' F D' F' D2 R2 U' B' U' F',51
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,R D F2 R' D',B2 L' B L2 U R U' L' B,D' L D L2 B L R D' L' D2 B',B D R' F' D2 F R2 B' L2 B R' D' B',B' R2 B D' F' U2 B' F' U' B F2 D,50
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,D2 B' L2 U2 L',L' R2 D' B' R B2 D B L R2,B2 R2 B2 R' B' D' R' B2 R B D R,U R2 D U B2 D' L' U' R2 U L,D2 B' R2 B D' F' U2 B' F' U' B F2 D',51
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,U2 R2 B U L2,U2 R' U' R B' U' R',D' F2 L' B' L B2 F2 R' B' D,D' R2 B L' B L U2 F R2 F' U2 B' R2 D,B2 L' U L U2 F2 D R D' F2 U B2,48
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,L B' L D U',B U R2 U2 R U2 R' U,D' L2 D' L D2 B R' D2 B R B2 L D,D L2 F2 L2 B' U2 B L2 D F D' F2 L2 D',D2 R F2 L F R' B R2 F R B R B2,53
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,D R B2 F' D',R2 D' R' B2 F2 L2 B U' F2,D L' B R2 F' R2 F L D' L' B' L,L B2 U' B L' D' B2 U' R2 U' B R' U' B2 D,R' F U2 F' R D2 R' F U2 F' R D2,53
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,D2 R D F' L' D,D2 U L2 F2 R F2 L2 D2 B2 U',B2 F2 R B F2 L' F U2 B F' L,D' R B2 U B2 U L U2 L' B2 R' F' U' F D,B' R2 B D' F' U2 B' F' U' B F2 D,54
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,U2 R' B2 L2 U2 F,F' U2 F2 D B' D' F' R',F' L2 F' D B' F2 U2 L B L',D F L' D' L2 D' B D' F' R D R2 D B',L' D' L R F2 U' F U' R U B' R' U R' F,53
