scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R' U2 F D' L F',R2 B2 R2 F2 L' B2 L' F2,B F' L F L' D' B' U2 L R' F2 R,R' D' B2 D B R B L D L' B' L2 D' L',U R' D2 R U' R' D2 R,48
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,D' B L' D F' D,L2 F R2 F' L2 U' B U,D2 U' B R' D' B R2 B2 F L D F' U,R' F' U' F U' L' R B2 L U' R B R',F R2 F L' F' R2 F L F2,49
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,B2 R D' U B2 L',R B' U L U' F' R' U L',R2 F U2 B' L B U2 F' R2,U' R' F R2 B D' R D2 B R D' B' F' R2,F' L2 F R' F' L2 F R,46
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,U2 B2 L2 F D2 R,U2 R' B U B R U2,L U2 L2 U2 B L2 D B' D' U2 L D,B' F R F' U2 L' D' B D B L2 U L' U2,L' F2 L B2 L' F2 L B2,47
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,B2 D F L2 R D',F' D L2 D2 R' D B2 L F,R U L D' F2 L' F2 D L' U' R',U' B2 R D R' U B2 D' R B2 R' F2 U F2,R' U L2 U' R U L2 U',48
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B' R' B' L U' F',L R' F' D2 L U L2 R F2 U,L2 R' D' L' U2 B' L' R' D R B2 U,L' B L F R' D2 B D2 R F' U R U' B2,U' R D' R' U R D R',50
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L' R' U' F L2,R2 U2 F R2 D U2 B L2 B',F' R2 D' F2 L2 R U' B' F' D2 B' D',R2 B F' L' B' L F R2 D B D' B',F2 L' F' R2 F L F' R2 F',47
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,R B' D' U2 L' F2,B2 L U R' U' R U' L',L' U L B D2 F' D' L2 F D B' U L,B' R' D2 B' U' R' U' R B D2 U R B,B2 D F2 D' B2 D F2 D',48
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,L' F2 L' D' B2,D2 F2 L' F2 D2 U2 R' B2,F L' F2 D2 F2 L' D2 F2 D2 F',U' B2 U' F R' B F' U B' U B2 U,B2 D F2 D' B2 D F2 D',43
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,F' D R D2 U' B,F' R2 B' L D' B D F D2,R2 B L' F2 L F2 L2 B' L U' F2 R2,F' L U2 F R B' R2 B U2 F' L' B2 F,D F2 D' B2 D F2 D' B2,48
