scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,B' L2 R2 F2,D' B' L2 D L2 R' F' R F,R2 D2 F' U' F D2 R2 F' L U' L' F,D2 R2 F2 U2 B' R' F R' B' D2 B2 F R2 D2,R B' R' B' R2 F D B D' B' F' R2 B2,52
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,F2 L F R2 B,D2 B L2 U L2 U' B D2 R2 U,B2 D' F' R F U R2 D R2 U',B' F' R F2 U2 B' L F' L' B' L B' L2,R U R' F' L' B' U' B L F,48
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,U2 B2 L' D',L2 U2 L2 B D' B' F L F' U2,B' D' R D B D R B' R' D',R' U2 F' D F' D B R2 B' D2 F2 U2 R,B2 U L' R B2 L R' U B2,46
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,L2 R2 D' F L2,B' U2 F2 L2 R' F' D2 L' U2,B2 R' F R' B R D2 F2 U' B F R',L' D R F2 L2 U' R U' L R2 F2 L2 D,,39
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,F R2 U' L D' L2 F,F' R' D' U2 L2 U' F2 L2 F D,R F' U' F2 R2 B2 F2 L B2 L F,B D2 B' F D2 L' D' B D2 B' D L' F',B L B2 D2 F2 R F2 D2 B,50
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,L2 B F D' U',D' R2 B' R2 U B2 D U',F' R B' R B2 U' F2 L2 D2 B' F' R',R' B L R D B' L' F U B F' D' L',B2 U' L' R B2 L R' U' B2,47
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,B R D' L2 U2 R',D2 L' D' R D B L R' D2,D2 F' R2 U B' R2 U' B R2 F D2 R',D F L2 F D F' R' B' L B L R F D' F2,B2 U L' R B2 L R' U B2,51
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,L F' R' U' F' D2,L U' B2 R2 F2 L' R2 B2 U,D2 B2 R D' U R U' R2 B' R' D',L D2 L F' D' B' D F2 U2 F' D2 L' D B D',B' D2 F2 L' U2 F2 D2 R' B',50
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,U2 B R' U B2,F2 L2 F2 L' R2 B L D2 B',R2 B' U R F2 L2 D2 L2 D' B F2 R',D' B' F U2 L' D' L' B L D B L' F' L2 D,B' D2 F2 L' U2 F2 D2 R' B',50
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,D L F D2 U2,R2 U B' R' D2 B' D B2 U' R,F2 L U2 B2 F' L2 F U2 L F2 D2,U2 B' L2 B R' B R U' R' B' R U2 F' D2 F,F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,55
