scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,B' U' B' R' D' L',L R' U2 L' U' R D B D',F' D U2 L2 D' F2 U B2 D R D' U,D L' D' R' U R2 D L2 D' R' D L' D',,40
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,R F' D2 F' U',D' L2 U2 F D U' B' U' B,D' B D' B' L2 D' L2 D L D2 L D',L U' L D' U L B2 R' U2 L2 U R D,B' U' B U2 F' L2 F L2 U' B L2 B' L2,52
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,L2 R' B' U2 F2,D B2 U R2 B' R2 D' U',R' B' L' R' U' R2 U2 L R2 B F2 R,D' L R' B U2 B' U2 L' B' R B D,R' U R D B2 U' B' U' B U2 B2 D' U',50
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,B L F D' R,U' L2 F' U L' R' D' B2 D R,R' F2 L2 D' R' F2 R D F L2 F2 R,F L F' L D2 F2 R' B R F2 D2 L2,U2 L B R' B' R2 D2 L' F' L D2 L' R' U2,53
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B' R2 F U' B L2 U2,R D R' B' D',R B F2 U' B2 U B' F2 R' B2,L D2 L F' R' B2 R' B' R2 F L2,U2 L B R' B' R2 D2 L' F' L D2 L' R' U2,47
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 F D B L' R2,U2 R2 D' F2 U F' D U,R2 U' R' D R' U' B R2 B R2 D' U2 R2,B' R' U' L' R U' L' B' L2 U B U,L2 B L2 B' U L2 F' L2 F U2 B' U B,52
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B' F' D' R B2 R2,L R2 U' L' D2 B D2 R2,L B' R' D' F2 D2 F2 R B L' F,R B2 R' B' L' U' L' U2 B' U2 L' U' L',D2 R2 F2 L D' L D L2 F2 R U R D2,51
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,D' L U2 R' B' R2 U,L U2 F2 R' F' U2 L',U' B2 U' F' U2 F2 D2 B D2 U' B2 U,U' B' U B2 D' B D U' B U' B2 L2 U2 B2,L2 B L2 B' U L2 F' L2 F U2 B' U B,53
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,D B F' D' B U,D R' B2 U L' B' L U' R D',R2 F L2 F2 U L' D' B2 U' L' D R2,B2 F' R D2 R U2 F U2 R2 B' F U' L U,D2 R' U' R U2 L' U R' U' L R D2 U2,55
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D2 R2 U R' B,B' L' B U2 R' U2 L B,R' B' F' U R' U' B2 D B D' B2 F R,L R2 U L' U' L' R U F' L' F L R,D R' D' U' F L D' L B' D L' F L' F2 U,54
