scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,U' B2 D F L' R2,B' L R2 U' B U' B' L' R2,R D2 B D R D' R' D2 R D2 B' R',U2 R F' U' R2 U R' U' R2 U R' F U2,D B' D' U2 F D U F2 U B D' L2,52
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R' D2 U' F' U' L2,F L' U R' D2 U' B' L F',R D' B R2 D R2 F D' B' F' R' D,R2 U' R' U' R2 F2 U' F2 U R' U R2,R2 F' R2 F D' R2 B R2 B' D2 F D' F',52
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,D F R D F2 D2,R2 B L' U2 R' F2 R' D2,D F2 D' F2 U2 R U' L2 U' L2 D',F' R F' D2 U' F U F' D2 F R' F,F D B R2 F' R' F' R F2 R2 B' F' D',50
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,R' B' L U2 F' R,L F2 R U2 R' F U L' U',R B F D' F' D R2 B' R',R2 F2 L B2 F U F' U' B2 L' F2 R2,B R F' R2 B U2 B' U2 R B' R2 F R2,49
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B U F' D' B2 R',L' D' L R2 B' L2 F L2 R2,D' L B' D B2 D' B' L' D,F' R' B2 F' L B2 D2 F R F' D2 F2,,36
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,R F2 L F,B R B2 L U2 L' D B' D',L' R2 D U' R' D' R B U L R,F2 U' L2 R D B2 D' L2 R' F R2 U R F,R F' R F D2 B2 L B L' B D2 R',50
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,D2 F U B' L2 U2,B2 D' F U' L D U F',D' F L2 F' R B D2 B' D R',U' R F' R' U2 B' F R F R' B F' U',R2 F' R2 F D' R2 B R2 B' D2 F D' F',50
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B' U' L2 F U2,F' R' U2 R B D2 F2 D2 F,D2 B' D U' B D B' D U B,F U2 L U R2 U' B2 D B2 L' R2 U2 F',U B' R' D' R D2 L' D R' D' L R D2 B U',52
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,D2 R2 B L2 F,B L' D' L' R F L2 R',B F2 U2 R U2 R U2 R' B' F2,D2 B L' B L2 B' L' D' L' B' L D B' D2,D' F D B' F' D' R' D2 R D R' D2 R D2 B,52
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,R2 B F' L' U,R2 F R' F2 U' R F U2 R2,D R D' F2 L F' L D2 L2 F' R',F' R2 D R B R' U B' D' F R' F' R2 F,U B' R' D' R D2 L' D R' D' L R D2 B U',54
