scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U' R2 B D2,F2 D' R' F D' U2 F U2 F,F2 L' F2 U2 L R2 U' R D2 U R' D2,D F2 U' B R2 U R2 F U' B' U F,L2 D2 R2 B' D2 L2 U2 F',45
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,B D R' F,U R' F' D2 F2 R2 U' F2 R,D2 R D L2 R' U B L2 R' F D R F2,F2 D' R' F2 R2 D' R' D R' F2 R F2,U B U' L' D' R' B' R D L,48
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,L' F2 D B' L U',R2 F2 U' F' L2 U' B D B2 L2,R F R F' R D R2 F D R2 D',U' F D F' R2 B U' B U B2 R2 U,L2 D U L' D2 B2 D2 L' D' U',49
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B L D B' U L,D' F' U F' D' R' D' U' R F',U F D U' F' R' D2 R F2 R' D2,R F R' B' D' B2 D B D' B' D2 R2 F' R2,U B U' L' D' R' B' R D L,51
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,F' L2 D' L2 B',B2 D' F2 D' B2 R2 F2 L D' L',D F' D2 F' U2 B2 D2 B D' B U2,D2 L2 U' B' L2 D2 L2 B U L2 D2 F2 D' F2,R' B' U B U2 R U B' U' B2,50
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,F2 L' R U' R,L2 F' R F L U' R' F2 L F2,L D U R U' R' B' D' L' D' F D,D2 B' R D F L' F2 L F R2 B R D2,U2 L2 R2 D' R' D L R' B' R B' L R',53
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,R U' R2 B U' F2,D2 L' U B R U' B' L D2,R F D F2 R2 D R2 F2 D2 R F',F' D F' D2 R U L' F L U' R' D F2,D U F2 R B2 U2 F2 L B2 D U',50
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,D2 B2 F L' R',B R' F2 U2 B' D F' U2,B' U L' D' R2 B2 D L F' L B' F,U2 R F2 L' D' F' D B2 F' R F2 L F2 R2,R' B' U B U2 R U B' U' B2,49
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,L' D' U2 F' L R2,D' U' B' L B R2 D2 R' U,D' R' F' R' D2 F2 L2 R2 B' U L2 R' F2,U F' D F L2 F U2 R2 B U F D' F2,B L' R D' B2 D' L' R F D2 L2 R2,53
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,R B D' U' B R',R B' R2 B D' R D' F R2 F',D' B U' B L2 U B L2 U2 R' F' L2,U2 B2 U B U2 B F2 D2 B' F2 U' F2 D' F2,B D' L R' B U' B' L' R D,52
