scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L2 D' L' R2 F L2,U B' R D R' B U2 F2 U,U2 B' L' B' U' B' L U B L U',L B' D2 F2 L2 U2 F2 D2 R2 B' L',D B' U F2 U B D F D2 B' L2 U2 B,50
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,B' L' D' L' R,D L' R' B L' D L2 D' R,L' F' L D U' L' R U' L D' U L,R D' L2 F L U F U' F2 L D2 B D' R',L2 B' L2 B2 D2 F' R2 F2 R2 D2 B' D2 F2 D2,54
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,R' F' L D2 F' D,D R' D' F' R2 U2 R' U',D2 R D B2 U' F' L F' L2 B' F2 D,R D2 R B L' D' L2 U B U' B' R2 B2 L',R F' U' B' U B F R2 B2 R' B R B R,54
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,L' D' U2 B U' L',L2 B D2 U B2 R' D' U' B,U' B2 D' F' L B U F D U' B U,R' U F' R2 F R2 D U' B2 R B R2 B' D',D B' U F2 U B D F D2 B' L2 U2 B,54
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,B2 R D2 B',D' F2 D' B D' R B' D',D U' F D2 U2 R' B D U' L' B L',U2 F' D2 U' B R B' D2 F U L2 F L U2,R F' U F' U F U2 R2 D B D' R2 F R',52
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,U' B' R2 D' L U,D F L2 U B2 U' F' L',D F2 R2 U F2 R2 F2 D B2 D2 U,D B2 R' B' R B' D' F' R' U R' U' R F,D2 R' F U2 F' R D2 R' F U2 F' R,51
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,D2 L R2 B',D' L2 R' B2 D L' R F' D',U2 B' R B' F2 U2 F2 D' B2 D' R' U2,B' F2 U' B2 D L' B' U' B D' B' U2 F2,R F' U F' U F U2 R2 D B D' R2 F R',52
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,D U F L' R2 B,B' R' U B L' R' U R2,D2 R B L D' U F' D U2 L' D2,D' U2 F2 L2 F' L2 U' F U L2 F' D U2,R' F U2 F' R D2 R' F U2 F' R D2,50
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,F L' R' F' D2 B',R2 B' U' R' U R B R2,L' D2 R D2 U2 L F D2 R2 D2 F L',D2 L B R B' L' R' D2 U R' U' R,F' U B R' B U' R B' D B' D' U' B F R' B',54
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,B' D U F L',F2 R U' F R F2 U2 F',R' B2 R B2 F2 R F' D2 R2 D2 F' L',D F' L' U' L' F' L B2 D B2 L F2 D',B R B' F' D U B D' B R' U B' R B' U' F,54
