scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,D' L U B R2 D',D B L' F' U' L B' D' F,D' B' L' R F R F' L R' B D,R' D' B2 U F2 U F2 U2 B2 R2 D' R',L U R B' R' U' L' D' B D,48
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,R U B2 R' D2,F2 L' F L' U L U' L F',L D' R U' R U R2 D L',D R' B R D2 L2 F L F' L D,R F L F' D L R' B' D L' D' L',46
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,L' U B U2,L' B2 U2 F' D' L2 D B2 L,B2 R D L R2 U2 L2 D F L D2 R,F D' F D F2 R F' L' U L F R',B2 D2 B' D' U R D2 R' D U' B',48
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,L F R U B2 D,F' R' D2 R' F' R' D R' F',B2 R D2 U R' U' L U2 B2 L' B2,F' R D' L2 B' U B U L2 D R',B' D' B2 D2 B2 D2 B2 D' B,46
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,D' F' U2 B' R',F2 D2 R' B2 D B2 R D F',L' B2 F' U F U' B2 L,F L D B R' B' R B' D' B L' F',D2 L R' B R B L' R D' R' D,45
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,U L' R2 B2 R B',B L' R' F' U' L F' R B',F2 L' B' L2 R2 D L2 R2 B L F2,D' U' F D F2 L2 F D F' L2 F U,L R' B2 L' R D2,44
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,B2 R D' F' R U2,F' U2 L2 R U L2 R' U2 F,B D2 R2 B D2 B L B' L F U2 L2 B',L D F' R F R' F D F' D2 L',F2 L2 D2 R2 B' D2 L2 U2 F,48
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,R2 B2 R D2 B D' B',R B' D' B D2 B R' B',U R B2 L' D' B' L B' U R2 U2 R,D L U B U R' U2 L' B D' B',U B' U' L2 R2 D2 L R' B' D B' L R',51
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,B2 D2 L R2 D2,U L2 D' L' B D B' L' U',B2 U2 B2 L' U B L U' B2 F' U2 B2,F' U2 L2 D2 B' D2 L2 U2,F2 R' U' L' R B L' U F2 R2 B2 D R2,47
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,F R2 B2 D U',D F2 D L D2 L' D2 F2,R' B2 L' D2 L2 D' R' U2 R2 D L',R D2 B2 R B' R' U' B' U B' D2 R',L2 F' D R' F D' L2 R2 U B' R U' B R2,50
