scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,F' L2 U R' U2 R2,B' L' B' F D' B2 D F' U2,D' U2 L2 U2 F' D F D R2 D' R2,L2 R2 U2 L' U L' U R2 B D2 B' L2,F2 U R' B2 R U' F2 U R' B2 R U',50
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,L2 D' B' R U R,L B2 U2 L' B' L U B2,D' U' B' L2 F U2 B U F' D U2 L,L' B2 L2 D' L2 B2 L F' D' F D,D2 U B D2 R2 U F U' R2 D B' D' U',50
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,F2 L' D' R B D2,D F L F2 D2 L D' F D2,U B' F' D2 U R' D2 B U L2 U2 F,F U L' F' D2 R' B R F U' F' D2,F' D R2 U' B U R2 D2 F D,49
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,U' F' R B' R2,R B U2 R B D L2 R D2 R,D2 U L' D L2 D' F2 D F2 L' D2 U',D2 F2 R' D2 F L D F' D R2 B R' F2 D2,L D' B' L B D L' F U' F U F2,53
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,D L' R2 D L2 F2,U L2 B L2 D2 B' D2,B2 R D2 B' L' D R' B' R B' L2 R',D L2 D L F L' F R U R B R2 F2 D2,F' D R2 U' B U R2 D2 F D,49
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,L' F D L B2 L F',L D U' L D' U2 L U' L2,L' U2 R' D2 R2 B U B R2 D' F' D' F2 R,B2 L' B2 L' D F' R2 F' U' R2 F2 D',F' D R2 U' B U R2 D2 F D,52
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,R' U2 B R2 B2 D',L2 U2 R2 D L' D R2,U B2 R2 U R2 D2 U2 B2 D' L2,D2 F' L2 F2 R2 U2 B L2 B R2 F',D2 L2 D2 F' D R' F2 U B2 U' F2 R D' F,48
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,B' F2 L' B2 U' F,U' L B' L U' B2 L B' U2,D' L2 U R B F' L' F L R' U' L D,F L' F' L F L D2 F R U' R' F' D2 F',F' D R2 U' B U R2 D2 F D,52
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,R2 U' F2 R' B2,F' D B L B' D' L' F,U R' F' R B L2 U L2 U L' U2 B',D2 B' D' L U' L' D U B' L2 B2 L2 B2 D2,U R' B2 R U' F2 U R' B2 R U' F2,51
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,B F2 L2 R' B D',F' D U2 B' U R2 B D',L2 U2 F2 L F D2 B R B' D2 L' U2 L2,D L D2 B2 F' D' B2 F D2 B L B' L' D',D2 L2 D2 F' D R' F2 U B2 U' F2 R D' F,55
