scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,L' B' R2 D' B' U2,R2 D R2 B U' R2 F' U B',L D2 F D2 L2 D L D' F2 L F2,F2 D' L2 F2 L B2 F2 R' B2 L2 D F2,R D' B2 D R' F2 R D' B2 D R' F2,50
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,F2 D U R' B D,F R2 D' B' F D2 B,B D2 R' D' F' R' F R D' B',B2 U2 F' R' F L' R U' L F U2 B2,L D L' D2 L2 D U B D' B' U' L2 D,48
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,L R2 D2 B D,B U' F2 D F D' U R B' D',D R2 U B L' U2 B U2 B2 U' R2 F,R' D L' R F2 D' U L D U' L,F' L2 D2 L2 F L' U F2 R' B2 R F2 U' L,52
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,F L2 R2 F2 D B' R',F2 D' R' F D' L F R D2 L',F2 L' F2 R' D R B2 D R' D' B2,U' R' F L2 R2 B' R D2 B' L2 R2 F U',F2 R D' B2 D R' F2 R D' B2 D R',53
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,L' R' D U2 R2 B',U' F R D' U2 F2 U' F2 R,U' L R' D U2 L' F2 D' R B2 U,U F L' R2 U B2 U' B' L R2 U' F2,R D' B2 D R' F2 R D' B2 D R' F2,50
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L R D B D' L2,D B' L' F D' L F D B,F' D' L' B2 U B2 L D F,D2 F' D' L' D' B D2 F D R D B',D2 R2 B U2 B L B' R B2 L B R F,49
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,R' B2 D' U' B' L,U' F L2 B2 R' F2 D' R2 B2,F2 L2 F L F' U B' U B U2 L2 F',F R' F R U R F U' F' R' U' F',F2 R D' B2 D R' F2 R D' B2 D R',51
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R2 B2 R D' L',D B U' F U B2 L' B,U2 F2 L2 U2 L' F U2 F U2 F L',L B2 F2 R' F' D' L D2 L' R B2 L' U F,L F D' F' L F D' L' D' L D2 F' L2,51
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D2 R' B' U' B' D' L,R' F L2 D' L2 R,U' F2 L' F' U2 R' F2 L F R U,U2 F L' R U' B' U' L R' F U',F' L2 D2 L2 F L' U F2 R' B2 R F2 U' L,49
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,F' L' U B' L',R2 F' D' U2 B' U2 L F' L2,F2 L2 D' F2 D' R' B D2 B' R F2 L D,U B' D2 U2 F R F D2 U2 B' L' U',F' L2 D2 L2 F L' U F2 R' B2 R F2 U' L,53
