scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,U B F D' B',F' U' R D2 L2 B2 L D2 U,B2 R2 B R D2 L B U L' D2 B,F2 R' F' R' D' F' D F R2 F2,,35
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,L' R2 B L',B' R F' L R D2 L' B,R2 D U F2 R D B2 F2 D' B' U2 R2 U2,U F' U' L R' D2 F D F' L' F R,R' F2 R D' B2 D R' F2 R D' B2 D,49
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U B L2 U' F2 L,F' D' L' U2 L2 U2 L' D2 R' D',R D L' B' U' L' B' D' U2 B U,L2 B' U' B L2 R' F D F D' R,L D L' D2 L2 D U B D' B' U' L2 D,51
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L2 B D2 B2 L',F' D' U' B' U B D2 R' D',R2 B2 L' F' D' F' L2 B U B L',R2 D' L B D R D R' B' L' R F' R,U' L2 B L U B U' L' B' L U' L U2,51
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,D U F' R B2,D2 L2 R' B2 D' L D' B2 D2 L2,F2 L' B2 D B2 F2 U' F2 L F2,F' R' D2 F2 D' F D2 F' D F2 D2 R F',L R2 D' L' F2 R2 U' R' U R' F2 R2,50
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,R2 B D L D B2,R2 U' R2 U2 F R2 F U' R2,L R2 B R2 F2 D' L2 F2 L2 D' F L,R2 F L F' D' L2 R2 B' U B L,L R' F D F' R2 B U' B U B2 L' R',51
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,B D2 B R' U2,U F2 U' F D R' B D' R',F L' R D U' B F' R' U' B' F L,U F' L' F2 L' F' D F' D' L' F L2 U',R' F2 R D' B2 D R' F2 R D' B2 D,51
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,U2 B2 L D' R' B D,R' F R2 D' F' D2 R' D',L2 R2 U L2 R F' R F U' F2 D' L2,U L F' L U2 R' D R U2 L2 F U',U' L' U2 R D B L' D L D2 R' U' B' L,53
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,F D' R' B' U' B,B2 U2 B' U2 F U' R' U B2,U2 L' F2 U2 B2 L' F2 U' L R' B2 F,F2 R2 D2 R D L D2 L' R' D2 R F' R,L D L' D2 L2 D U B D' B' U' L2 D,53
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,B2 U2 R B' L2 U',U2 F2 D' L D' B2 D2 F U2,D' F2 L F D' L2 D F' L D F2 U,U L' F R B2 D U' L D' U R' F' L,U2 F' L' F L' U2 R B' R' U2 L2 U2,52
