scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,F U2 L' F D L,D' B' F' R' U F R2 B D,L2 F2 U' L2 U F2 L2,R U' F' L F L' U F U F' R',B L' B L B2 U2 F R F' U2,43
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L D' B D' F D',D' U' F' D' L D2 U,D R2 D2 R' D R D B' R2 D' B,R' D' F' D U' R2 U F R U F' U',B L' B L B2 U2 F R F' U2,46
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,D2 R2 U B' D,D2 R B2 L2 D' B2 L' R' D2,F2 D U B' R B U R' D' U2 F2,F R F R U F R U' R' F' R2 F',B L' B L B2 U2 F R F' U2,47
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L R D B D F',L B R2 B' F' D' F L' R2,L2 F D' B2 F' L' F D F' L',U2 B' U2 F U' B U2 L2 F2 L' F' L' U' F',B L' B L B2 U2 F R F' U2,49
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,D2 B' U2 B',R D L D2 R' D R,U' F U' R F R2 F' R' F' U2,L2 B F L2 D F' D' F D' L2 B' F' L2,B2 L2 B2 U B U' B L2 F' D B2 F,46
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R2 D2 B F2 L',F U2 B' L' D B L U2 F',L' D' U2 R D U' R B U' B2 L,F D' L' D2 B2 F' U' F U' R' U2 B2 D',U R2 B' R' B R2 U' R' U2 B U B' U2 R,52
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,R B D R F' D2,F2 L2 U' B' F2 R2 D' R2,U' L R D F' D' L' R' U,B2 F2 D' F2 D F' D R F R' D' F' D' B2,L2 D' L2 D F' L2 U L2 U' F2 D F' D',50
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,R U2 B2 R U L',L U' L' U B' R' B2 R,R D2 R B L' U B' U' R' D2 R',B2 F' R U' F' U F' U' F2 U R' B2 F,B2 L2 B' F' L' F L' F U2 B' R F' U2,51
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,B' U' L' B2 D F2,D B' D' L' R2 B2 R' B' L,U R2 U F R F2 R2 F' R2 F U2,B' R F' U F2 U' F R2 F2 R F2 R B F2,L' U' L U' F2 R' F2 U' R' U R U2,52
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L2 D L' D L U',R B F2 D L' D' R2 F2,U2 F' R B L' B2 F' L' R' F L B,F' D' F D R' D' B2 U' L' U B2 D' R D2,R' U2 B U' B' U2 R U R2 B' R B R2 U',54
