scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,U L2 B' D' R,L R2 D' L D' R U' B F2 D',B' F U' B U' L U2 B F' R' U' R,F R U L B2 L' U' R' D2 R2 D2 F',F' R B F' U2 B' F R F,48
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,R2 B F2 L' U',D U L2 D L2 R' D' U2,R U2 B' U' B2 U' F2 D2 B' F2 R' U,D U B2 D' L' D' L B D B D' U',B' D' B' F L2 B F' D' B,46
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R' B D' L' R,B D' U R2 D U' B' D' B2,B F' U' L2 U B2 D' R' B' D B2 F,L' F R' B2 F' U R' F' U' B2 F L R,,39
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,F D B' U2 L D,U' F2 D' B2 F2 R' D2 R2 U B2,B F' U F U F2 L F U2 B' F,L F2 L' D2 U' R' B U' R2 U B' R D2 U,F' R' B F' U2 B' F R' F,50
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,D' B2 F D L2 F,B2 U' R' B2 D2 B U2 B' D' R',B L D2 B2 D2 F U F U2 F2 L' B',L2 D' L2 U L2 D2 B' D' B D' L2 U',B' D B' F L2 B F' D B,49
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D L F' D2 R2,B2 D' B2 U L F L' U2,F U F' R2 U' F' U R2,U2 R2 B D L' D L D' B' D' R2 U2,U' B2 D B D B' D2 B2 D U R D' R',46
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U2 B' D2 L2 D,U' B2 F L' R2 B D L' F' D,B U' F' D2 B' R B D2 L2 B' F,L U' R U2 L2 D' B D' L B U R' B U2,,40
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,R' F U2 B D,B' D2 U2 L2 D' L2 R2 B' R U',L2 D2 R' D2 L' B' F2 L R' U L2 R,U2 F R F' U2 B L' B' L' D2 R F2 L2 R',D' L D' U B2 D U' L D,50
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,U F' R U2 B' U2,D2 U F' L2 R' U F D' R',D B' R' D' B F' R U F D',F D F D F' D' U' L R2 D' L' U F,F' R' B F' U2 B' F R' F,47
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,U' F D' F L2,D L F2 L F2 D U' L' F L',B2 U' B F' L' D2 B' F' R2 D2 F2 L2,L' D2 L U' F2 U L' D2 R B' U2 B L R',F' R B F' U2 B' F R F,50
