scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,F2 R' U' B R' D',U L2 D2 R F' R' D2 L2,U L F2 L2 U' R2 U2 B2 U' L U' R2,L' B D' F' R D2 R' B' D' F L D,,38
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,U F2 D2 R' D' B,B' L R' F' L' R U' B,R B D B U B' F2 R F2 D' U' B' R',L B2 L' U L R' U2 F2 R U B L' B,R' U2 R D R' U2 R D',48
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,B D F U2 R D,L' D' B L' D U2 B' U2 L2 B',F' L B' R D2 B2 D2 R' B L' F,L2 B D2 B' D' B D' B' D' L2,D' R U' R' D R U R',45
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,R2 F' L B' D2,F' L' U' B L2 B2 U L' B F,L' D R2 B U2 L2 D' R2 F L D U2,L' B R D F D F' R' B' D' L,R' B' R F2 R' B R F2,46
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,F' D U2 L R,B2 R D2 R2 F2 U2 R B2,B F' L2 D2 R' U2 R2 F L2 U2 R2 F,L2 B2 F L2 B L B' L B2 F' L2,R U' R' D' R U R' D,44
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,D' L F2 R D B F',L U' R' U2 L2 R B' L U2 B2,B D R' U2 R2 U' F' U R' D' U2 B',B L' D' B L B' L' D' B' D2 L B',R F2 R' U B2 U' R F2 R' U B2 U',53
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L' R' D' L2 B D,D U2 B' F2 R' B F2 D',F' R' D U' F D' F' U R' D' R2 F,L D2 L B2 R' B' R2 D R' D' B' L2,R2 U R2 U' B R2 D' R2 D B2 U' B U,51
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,B2 U' R D' B2 L,D L' U' L' U' F' L2 F D',F' R B L2 U' L2 U B' R' F,B U' B' U2 B F D' B' R2 D F' U' B,B2 U2 F R2 B' F' D B U' B U' B D',51
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R' D' F D B2 U2 F2,L2 U2 F' U' L2 F2 U F L,D' U2 B2 L B U2 L2 U2 B' L' B2 D U2,U B2 F L B2 L' B2 L B L' B' F' U',B' D2 B' R U2 R' B D2 B' R U2 R' B2,55
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,R D2 B' L' R,R' F' U L' U' L R U L,D' L2 B L2 U2 F R2 U' F' D U',L2 D B' L' F U L2 U' F' L B D2 L2,U2 B R2 B' U B U' R2 U B' U,49
