scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R D' B R2 U,U' R B' F' D R2 D' L' R' U2,F D B' D2 U2 R' D2 U2 L' B F' D,R2 B F' U' R2 F D2 B' D' B2 D' B',L2 D L R' B2 L' R D L2,48
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B2 U2 F R,F' L' F D2 L2 D2 B' U B D2,F D' U2 R2 D' R' F U' R' U' F',U' R D' L D' F' D L' R' U R D R',U2 L B' F U' R' U B F' L' U',49
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,B' D' B' U2 F2 R',F D2 B' L' U' B F2 L D',L' F' L F L' D' F' L' F D L,R2 B' D B' F2 U2 B F2 D2 B D R2,U2 F2 L2 B2 D B2 L2 F2 U',47
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R F' R2 U2 F2,U' R U R' U F L2 D2 U',B D2 F2 D' B' F2 U L2 U' F L2,D2 R2 D' R F' U' B R B' U F R D2,D B2 D B' F L' B2 L B F' D2,49
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,R D B L2 U' L,F2 L B2 F2 R' B2,R2 B2 L U' R B R2 U2 L' R',R B2 L' F2 U' L B2 L' U F2 L R',,34
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,D2 B' L2 U B',L B2 L' B L U' R2 B2 L',D2 L' F R F R' F2 L D',L2 R2 B' L2 F U B2 U F' U B2 U' R2,F2 L R F L2 U2 L2 F L' R',46
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,F R2 U B2 U2 R,F D' U L B2 F2 D' U B2,D2 L R' B L2 B' L R' U R2 D,L D' B2 F2 L D L' F' D' F2 D B2 D L',D B2 D B' F L' B2 L B F' D2,51
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D B' L D' R',R F' D2 F R2 F' D2 R',F' D2 R' B2 L B L2 B D R,D2 L R' B' D' B' D B D R' B L' R2 D2,R2 F' L' B' U B L F R U' R,48
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,F' L2 F R B2 U,B2 R' F' U L2 R' F' U2 F' R2,L' F' D2 F' L F D2 L F',D2 F L' F D R' D2 L' D' R' U B2 R2,R' B' R B F D2 B2 D' B D B D2 F',51
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,L' D2 U L' B2,L B2 F D F R' D B2 F U',L' F2 U L' U' F2 R' D2 R F L,D2 F D F' D' F L' D' L D L F' D2,U' L U2 L2 D' U' B' U B D L2 U' L',52
