scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,D' L2 U' B F',D2 B2 F D2 U' L2 B F L,R B R U' R' U' L F U2 L' B' R,R' U2 B R2 D B' U2 B D' R2 B' R,B D U' L F2 L' D' U B L2 B2,49
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B' U R2 B R',D F2 U' R' U R F2 D',R2 F' R' F' R2 U2 B' R B,B' D' U2 R' D2 F2 D2 U2 L' B2 L D B,,35
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R F' U2 B2 D',F' U2 F' U2 F2 L2 F U' F2 L2,R' F' R2 D' B L' B' D R2 F R,L2 B' U B R D' B D R' U' L2 B L2 B',R2 D' U F2 D U',46
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,D' L' U B D2 B U2,F2 D2 R D L2 U2 B D U,F' L2 B L' U2 F' L2 B L R B2 U R',B L B2 L' D2 R2 D R U' B2 D U B,R' B' F D' L2 F2 L2 D B F' R D2 F2 D2,56
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 D B U' R2,L2 D' B U L2 D F2 L',R' D' U B L B2 R' F2 R B D U2 R,B' U B' U2 B' F U B' U F' U2 B2 U,F2 R' B F' U F2 U' B' F R,49
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,B D R2 B F2 D',U2 L2 U F L' F' D' B' D U,R' U' R' D' L D F' L' R2 B L B',B' U B' R B' R' B2 U' B D L' D',R' B' F D' L2 F2 L2 D B F' R D2 F2 D2,54
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,F' U R' U2 B R2,D2 B' D2 F2 U' F2 D' B D,R2 F U' L D2 R' D2 L' U R2,D' U B' R2 D F2 D' R2 B D F2 U',D' U F2 D U' R2,43
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B D2 R' U R2 B,F2 D F U' L2 R2 D' B' U B2,R' U2 R B2 D L D' B2,B L' B' L' B L2 D L' D' L' B' U' L U,R' B F' U F2 U' B' F R F2,48
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,R D2 R2 U2 B D' B2,F D' U' L' U' L' D L',U B D' L' U2 L2 U2 L D B' U',U2 L D U2 F D' L2 B D2 F' D2 B' U2 L' U2,R' B F' U F2 U' B' F R F2,51
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,B' F2 L2 B' L D',F2 L2 U' L' U' R' F' R F2,R' F U B' D' F2 D B U' F' U' R,D2 R2 F' U L' U' L B F R U R' B' R2 D2,B D' U R' F2 R D U' B' R2,52
