scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,F' U2 F' U R' B2,B' D2 L' B D2 B L2 U',B' R' U F R2 F' R' U2 B U,R' D' U R2 B2 D B2 R2 F2 D R',F' L' B F' D2 B' F L' F,44
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,U' B2 L F2 D B,D F' R F' L' U2 F' R',U2 B2 L D L' B' R F' R' B' U2,B D B' L D2 B F' R2 D' F D' B',B' F D B2 D' B F' R B2 R',47
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,D L' B2 U R' B2,U2 B2 L2 B' L2 B' D2 B' U,U' B2 D B2 U' L' B D' B' U2,L' B D2 B2 F2 U' B F' L' F' L,B' U B2 U2 B' U L F U' R F' L',48
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,B L2 D' F2 R',D U B F L' R' B' F',U' B2 D L2 B U B U2 B2 L2 D' B2,L' B2 D2 F2 R B2 U2 F2 L2,L2 B2 D' R2 B2 L2 U' F2,42
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B' F' D' U2 L2,L' U R U B2 L' B U' R',L' D' B2 U L' B' R D2 R' D L2,F' L B' U' F' U' F2 U2 B L F L,U' R2 U B F' L' U2 L B' F,47
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,D U2 L2 B2 R D',F' U2 R' D' R' D2 B' R2 U,B' U R B2 L' D' B R' B2 L,R' D' L D2 U2 R' D' U2 R,L' B F' R F2 R B' F D' F2 D' L,46
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,B2 L' F' U' B2 F,L F2 R2 D R F' R U F',L' B D' L F' D' L D' F D2 B',L' R F D' U L' B D U' R',L' B F' R F2 R B' F D' F2 D' L,48
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,D' U' F U' R' U' B',B2 L2 U' F U2 L2 F' D' B',B2 D2 F R' B2 U F U2 F2 L' U,B U L' R2 U' L2 R2 D L' U' B',U F' D' U L U' L' D U' F,48
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,L' B' R2 F2 D',F2 U2 L U' R B L2 U2 R',L' B L B2 U2 R2 U2 R2 U' B,F U F' U' B F' U2 B' D' F D R2,F L' D2 L B F' D' B2 L2 U' F2 L2 B,49
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D R' F2 R2 D',D2 B F' R' B' L F L' D',B2 U2 L' B' F2 U' B F2 L U2 B2,D2 F' L' B' F U B D2,R' D2 L2 F D' U L' B2 L' D' U B U2 R,47
