scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R2 D' F' R,B' F D' F' L' F' L B F,B' U R U' B R B2 R2 B R2 B R',D B D2 L F2 L' F L F L' D2 B' D',R2 U F' U' R' D' L' F L D R',49
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,L2 F U2 R' B F U',R' D F2 U' B' F2 D' L2 R,R' B2 R D2 U2 F2 U L' D2 U,R' F L D2 U F2 D U' F2 R2 D L' F' R,R2 U F' U' R' D' L' F L D R',51
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R' F U' R B',U L' F2 R D U' R2 F' D',B' L' B2 L U2 R' U2 B D B2 D',D2 L F' L2 U B' U' B L B F L' B' D2,R2 U F' U' R' D' L' F L D R',50
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,F L' U F2 R,B D' U B D' R D2 B' U' B',L R U' R' B2 F D' B2 F' L',D2 R' B D2 B' R F' U F2 L2 F2 U' F D2,L B F' D' F' D B' F L' F,49
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,U R B F2 L,L2 F' L' B' D B L' F,L2 F' L' B L2 F L2 B' L',R' B' D2 F2 R' F2 R F' D F' D B,F2 R F' R' F' R2 B U F U' B' F' R2,47
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 F' U B R' U2,F R2 B' R' D' F R2 B R F2,B2 D' F R F R F R2 F' D B2,F2 U2 F D' F2 L' R F' L F R' D U2 F2,U' R D' U F2 D U' R U,50
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B' R' D B2,B2 L B' D' B D B2 L',B' L2 F2 L' B L2 F D2 F L,L U2 R' D' L2 B2 L2 D' R U2 L D2 L2,R2 U F' U' R' D' L' F L D R',46
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,F D B' L D2 R2 B,U L D2 L2 D R2 U' B D B,B' D' R' U R F' U F2 D U2 R2 B,R2 U R2 U R2 B U' B' R2 U2 B' R2 B,F R F R' F2 R2 B F U F' U' B' R2,55
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B2 U F' L' R2 F',F R B2 D' F R B2 R' F2,B2 R F2 D2 F' D2 F' D' F' D R' B2,U R2 U' B L U2 L' B2 R B U R U' R,U' R' D' U F2 D U' R' U,50
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,D2 L U' F R2 B,B R F U' L2 U R' B D2 B2,D' R' D B2 D B2 D2 R D,L D' U R F' L F R' F2 L' F U' F D L',U' R' D' U F2 D U' R' U,49
