scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B U2 F' L U' R',U2 F' R' F D2 B D2 B' U2,R' F' U L' B' L F R,B' F' D2 R' U2 R' U2 R B' R F L2 B2,R2 U' B U R D L B' L' D' R,47
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,R' F R' B D U2,U' F' L2 R' B2 L' F2 L' F' U',B U' B2 D' R D R' B U B',R2 F' L F R' U' F' U2 L' U' F R',L B2 F2 R' B R B2 F2 L' B',48
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,D F R D' F2,F2 U2 F2 L' B' D2 B2 L B,B' F2 R U B U' R' B F2,F D2 F U' F2 D' R2 D' F' U2 B' U' F,,36
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U' R' B' U L2,U2 R2 F' R' F2 R F' U2 R2,D B' R D B2 D' B2 R' D',D F L2 F L' U L' U' L F' L' F' D',B L B2 F2 R' B' R B2 F2 L',46
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,F R B L' U',D' L2 D' U2 R2 U2 L2 R2,U2 B' D B2 D' U' B U B2 U2,R' B R F2 D2 B' F' L' F2 L' B F D2,L' D L R' B2 L' R D L,45
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D F' D R U,U' R' F2 U B2 F2 R U,U2 B2 U' B' R' B2 U2 B U' R U',R2 B' U B R F2 L' D' L' D L2 F2 R,L' D L R' B2 L' R D L,46
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,D2 L' B2 F' L' U',D R D2 R' D' B D2,R' B' F' U B2 U B2 F R B',F R2 B F' U B' D R' U R B2 U B D',R' B' R B F D2 B2 D' B D B D2 F',50
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,U' B F R' U L2,B2 D L D B' D2 L D L',R' B' U' B' D' U R D R,D F' L2 D2 L' F L F' L D2 L F D',R' D' U F R F' D U' R B',47
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,F' D' F2 R B' U2,D2 L F2 U B2 F2 L' D2,B' R' F2 U B2 U' F2 R B,F' L2 F' R F' R B U2 R2 F D2 F2,L U' L' D' B2 U B U B' U2 B2 D U,48
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,U F D L F' L,U F' U R2 B D2 U' L2 D2 F,F2 L' D F U2 F' D' B L' F2 R',R U L U2 L' U2 R U2 B' U2 B R' U R',R' B' R B F D2 B2 D' B D B D2 F',54
