scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,B2 L R F' U' F2 R,B2 U2 L' B D2 U' R' D2,D U2 R2 B D' B' R2 U2 L2 D',R B' U B U2 F' L F L U L' R',L' B' L B2 L2 B' F' D' B D F L2 B',50
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,F2 U' L' U2 F2 D,B2 F U R B2 L2 F' L2 F',L B D' B' D B' L B,R2 F' R D2 R' D' R D' R' D2 F R2,L2 B2 U2 F' L F U2 B2 R B R' B' L2,48
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,B L D' B' F' R',B2 U B L' B F2 D' F2,L2 B' U B' L2 B' L2 U' B L2 B,L2 U F U R U B R2 F D' R F2,L2 U B2 D' B U B2 D B2 U' B L2 U',50
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,F' L' B2 F' R2,F' L D' B D R2 B' D2,B' D' B2 D L' B2 F2 D' B' D F2,D F D L D' F D F2 L' R2 U R2 D2,L2 R2 B2 U' B' U B' R2 F D' F' L2,49
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L' D' R B2 U' F2,D B' D R D B' D2 U B D',L2 R2 D F' L2 D' R2 U2 B' U2 L',R B2 U' L2 U R D L' D' L' R' B2 R',L2 R2 B2 U' B' U B' R2 F D' F' L2,52
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,D2 B' R' F R D,L R' B2 U2 L' B' R' B',L D L F L' F' L D' L2,R2 B' L B' L' U R B' R' U' L B2 R2,L' B' L B2 L2 B' F' D' B D F L2 B',49
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L R' U' B' U L2 F',F' L B2 R2 B2 L D L F',L2 B' U2 F' D F' R D' F2 U2 B,L' B2 L2 B' L2 B' L B' L B L2 B' L2,F' U' F U' R2 B' R2 U' B' U B U2,52
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,F2 D2 L2 D R2 B2,L' D2 B U2 F L U' R2 D2 F,F' U' F U2 B2 U R2 B' R2 B' U2,B' U2 B R B' R2 D F D' R U2 L',L2 B2 U2 F' L F U2 B2 R B R' B' L2,52
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,D' L2 B F2 R2,D2 L B R2 F' D' B' L2 F2,F' L2 D2 B F' D B' D F2,L' U2 L2 F' L2 B2 F U' R' U R B2 U2 L,B' U2 L U' L' U2 B U B2 L' B L B2 U',51
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,D' U2 F2 R D,F2 L' B' F' R2 B D' F' U2,F' L2 F D F' L2 F2 L' F' D',F U' B2 U2 F2 L2 F2 U F2 L2 F U' B2 U,F' U' F U' R2 B' R2 U' B' U B U2,50
