scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,U' F2 L' U' L2 F,D' U2 B D2 B' U2 L D,R2 U2 L D2 U' B D B' D U' R2,D F' L2 R2 F' R2 F L2 F R D R' D2,U2 B F U' F2 L2 F2 U' B' F',48
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,B2 L' F' D F2 R,F' U B2 U' F L2,F' D B2 F D' B2 D B D2 B,D' F2 L' F' D' F' D' F D2 F L F2,B L' B D' U R' B R D U' B2,45
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,D2 U F' L' B' U2,U' B2 U2 B' U2 B' D U,L B D' B2 D2 B L D2 L2 D2 L2,L' D' L2 D' F U B2 U B U2 F' D2 L,F2 R B' F D2 B F' R F2,47
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,F' U2 L' R U B',L2 D2 L' U2 B D' B' U2,B2 D2 L' B' D B L D B2,D B2 D B R' B2 D' B' D R B' D2,B L' B D' U R' B R D U' B2,46
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,D2 U L' F' R2 B',L' D2 L' U2 B D' B' D' U2 L,D2 R F L' D2 L F2 D F R' D2,L' R2 B R2 U' R2 F' R2 U R2 B' L R2,F U L D' U B2 D U' L U' F',51
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D2 L R B2 D F',L R2 B' U' L2 F2 U B R2,D B' L D2 U B2 U' B2 D' L' B D',D2 B2 L' B2 L' B D2 L2 B D2 L2 B' L',L2 F' D' U L B' L' D U' F L',51
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,L' F' D U R B',L2 R2 B R2 B R2 B L' B R2,L B2 L' B D2 F L2 F' L' B D2 L',F' R B L' U2 F L B' F' R2 F R F',F U L D' U B2 D U' L U' F',52
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B' U2 R B D' R,D' L' D2 U L2 B2 L2 B' U',D2 F' D' F D2 B2 F' R' B2 R F,B2 L2 U2 L F L' F' D' L' D U2 L2 B2,U2 B F U' F2 L2 F2 U' B' F',49
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B' L U' R' B,D2 L2 D' R' D' L D R,B' L B' L B2 L2 D2 L B' L' D' B,U' L2 U B U' L' B' L' U2 R2 F' R2 U',B D2 F2 D' F D F D2 B' L' F' L F,51
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,B2 L D2 U' B2 R',U' R F' D F' R' D U,D B F' D' B D2 B D' F D' B2,L F' D L U2 L' D R D2 L U2 L' F L',B D2 F' R' B' R B F D2 B2 D' B D,52
