scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,D' L' F' U2 F2 L,R' D2 L2 B F U' B2 L2 B,U' B D' B2 U R2 B' R' B R D B,D2 U2 L2 U' B D F2 D' B' D2 U',R' F2 R D' B2 D R' F2 R D' B2 D,50
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,B2 L2 F R B L,F2 D L2 B R B' F2 L2 D',B' R2 F R' B R D2 B' F' R2 B',F2 R' F2 D2 R F2 R' F2 R' D2 R2,F2 U2 B2 D L D' B2 U R' U R F2,49
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,D' F L' R' D B',B' R' F' D' F2 R B R',U F' U' B R2 D L B' D2 L' R2 B',F U L2 F2 L2 F' L2 D F' U' F2 D',F2 D U F' U' F D' F2 U F' U',49
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,F' L2 U' F2 L U,D B' R2 D2 U2 F' D U2,L2 B D2 U F U' F2 U' F2 D2 B' L2,B' L2 R2 U' B L' B' L B' U B L2 R2 B,F2 D U F' U' F D' F2 U F' U',51
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,R B' L' D U B' L2,F' R' D2 U' B D2 R U,D B2 D' B2 D B R' D2 R D' B R',L2 D B2 U' F U B2 U' F D' U,F U L U L2 B2 R D R' B2 L U2 F',51
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,D2 U' B' D2 R' B',B2 R F' R' B D' B F2,B' D2 R U F U' R' D2 B,D' F U2 L' B L B' U2 F' D,D U F' U' F D' F2 U2 L F L' F' U2 F2,47
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,L' B2 D L2 D',F2 R B' R U' R' D2 U B,B D U F' D' B2 L' U2 L B2 U' B',F2 U F2 U2 F' D' U2 L' F U' F' L' D,D U F' U' F D' F2 U2 L F L' F' U2 F2,53
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,U' F' R2 U2 B L',R2 D2 B' L2 B L2 D2 F2,B R B' U2 L2 U2 R' U' B' U,F' U' L2 D' U2 L' U L' D2 F2 D' U2 F',D' U' B2 D' R D B2 U2 L U L' D U2,50
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,F' L2 D B' L D,B2 U F L F2 U' R B2,U F U B U' F2 L2 U2 B' U F,F L2 B2 R B U B' R D' F R2 B2 L U',L2 U R U' L2 R' F2 L2 U' B' U B L2 F2,53
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,R' B2 D2 F' D B',D' L2 F2 U' F' D F2 R' U,U' R2 B L B L' B R2 B U,U L' F D2 U2 B' U R' D2 F' D2 R2 D2,F' R' F R B U2 F' U' F' U F2 U2 B',51
