scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,D B R F' U2,F2 R D' B' L2 D2 R' B F2,U' F' L2 F L F' L U2 L U2 F U,D U' F R' D' F L' U' L D R U F' D',R F R F2 U2 B L B' U2 F R2,51
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,B R B' L' D2,L D L2 U2 F' L' D' L2 U,L D' F U' B U2 F' D L' U' L',L2 F U2 L' U2 L2 U2 B L F' L2 B' L,D' R D R F2 L2 U L U' L F2 R2 D,51
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B2 U B F2 R2 U2 R',L B2 L' D' B' D' R2 D2 B,D U2 R' U2 F U F2 U R D' U2,F D2 R U' R U' B' R2 B R2 U2 R' D2 F',,41
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,F2 L' D' B' F',U' B2 D B' D2 B2 R2 F D L2,F' L' D B2 D' F2 U R2 U' F' L,L' F2 U2 F R B' R D' B R2 F D' L D,D R F L2 B' L' B D' L' F' R2 B R B',54
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B F' U L' F' R2,L D2 F D U R D U' B L',R F U2 L' B' R' B L U2 F' R',B R' U2 F U' F2 D F' D' F2 U' R B',R F R F2 U2 B L B' U2 F R2,51
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,B2 L' U' R2 F,U B' R B' U' L2 B2 R',B U' L2 U F' L' F L2 U B',L' D2 R' B2 L' B' R' B' R' B R2 B' L D2,B U' B2 D2 B' U B D2 B R2 F D F' R2,51
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,F2 U2 B2 F' D L,R B F' U2 R' B' U' R F,D2 R2 F2 U' R F R2 D R' D U,L' D' U B' U' B L' U B2 U' L B' D L2,D' R D R F2 L2 U L U' L F2 R2 D,53
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,F2 U' B R2 D' F',R2 B2 R D2 R2 D2 B R' B2,U2 L' R2 U' L U R2 U2,D' B U' L2 F' L2 F2 U2 F' L' U L B' D U',B F' U' B U B2 R2 F D F' R2 F,50
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,B2 F L2 D' F' L,B2 D B' U' B2 L D' B U R2,L D R2 D' F' D F' R2 D' L',D' R' D F' R' F R B' U F U' B D' R D,U' F L2 F' U R2 U' F L2 F' U R2,53
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D L U R2 F2,L B D U2 F' U L' F2 D' L,L2 B' L' U L U2 B L2 U L' U',U' L F R B L2 U B2 R' U2 R B L R' F',B U' B2 D2 B' U B D2 B R2 F D F' R2,55
