scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,R2 F D2 L,U' F' U L' U' F L,U' R2 D2 B D U F2 D' B' R D2,U R F' R' D2 U2 F L B L' F' D2 U,F' R F' L2 F R' F' L2 F2,44
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,U2 F' R D R' B2,D F D' B L2 U' L B' U2,R B U2 F' U L B' U2 F U' R2,D F2 U' B D' B D B' U B' F2 D' B,R B' U2 B R' D2 R B' U2 B R' D2,51
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,B L R2 B,L' R2 F2 R2 F L U F,R2 U' B2 L' B2 U R2,B2 D2 U' L U' L' D U B' U B D B2,D2 R B' U2 B R' D2 R B' U2 B R',44
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,D2 B D L F R,U2 B L' F' L2 F U' B' U2,U2 F2 L D2 L' D' F D' F U2 R',U' L2 D' B D L2 B2 F2 L' B' L F2 U B',F' R' F L' F' R F L,48
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,F' L2 D2 F2 D,U B F' U2 B' F U2,R D' U' L2 B2 L U' L D U2 R',D U2 L D' U L B2 U B2 U' L' U,L D2 L U L' D2 L U' L2,44
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,F R B2 D F2,F2 L B L2 F2 U2 B' L U',B U2 L' U' L2 U' B' D F2 D',R2 U' B2 D' R' U2 F D' L' U' F D2 R,R' B R F' R' B' R F,45
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,B D F L R2 D,D2 R2 B2 L' B2 D F2 D R',B U2 F U L U' L' F' L U2 B',F2 D2 B U' B' D U R U R' D U' F2,,39
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,L D2 L U B D' F,U F' U B U2 B' F U2,D' F L' D2 L F' R' B2 R D,D2 U B' D' L D2 L' D' B R2 F R2 D2 U',R F2 R B2 R' F2 R B2 R2,48
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,F' U L2 R B D',L' B' L' B2 U L B U' L,F D F' R U R' F2 R2 D' F2 U',B U F D U' F D' R' D F' D' R B' F',L D2 L U L' D2 L U' L2,49
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,L2 F' R' B2 D R,L' D2 F' R2 F2 D2 B' U2 L',R D U' B D2 U B2 D2 B' D' R',F' U2 L' B2 D' U' F2 D' F2 D2 L2 D' F L' U',D F' D B D' U' R2 U F2 D2 B' D F',54
