scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,B F L2 F2 D' R2,F D' B' D2 F' R' D',F' U L2 R' B D2 B' L' R F2 L',L B2 F D' R' D R B R' B F' L',R' B' R2 D' R' D R F D' F' R' B,48
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R' F D L U2 B',D' B' D2 U F R' D' U',L F D' L' D' R' U2 R2 D' F2 D',L2 U' L' B2 U' B' U L' F2 L B2 L' F2,R' B' R2 D' R' D R F D' F' R' B,50
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,D' B2 R' D' U B',D U2 F R' D' L F' U' F',F' U' F2 D L2 B2 L B2 L F' D',B' U2 B2 R' U' L U2 R U L' B U,L2 D2 U B U' B' D2 L2 D2 R' B' R B D2,52
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,U' R B' F R2 U2,L2 F U F' L F L,D2 B' R2 B' L R U L' R' B2 D2,D' R B2 R' B R' B' R D B' L U2 B L',B D2 F' R' B' R B F D2 B2 D' B D,51
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,B D L2 U2 F R2,F2 D' L B2 L B D F' L,L' U L' D R' U' F2 D B R' D2 L,B' L' B R D2 L2 D2 R' B2 L B L,L2 D2 U B U' B' D2 L2 D2 R' B' R B D2,53
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L2 R U' L B' R,L B' F U2 B F2 L,D R' D U B U2 R2 D2 F L2 F' U',L R B R' F R B' U R' U' F' L',D L2 R2 D2 B D B' D L2 U' F U R2 D',51
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,R' B D2 L R2 B,F U2 F L2 F' L2 U F2,U2 L F2 L' U2 F D U' F2 R2 D' F,U' B2 U B' U B' L' B' L U' B2 U' B2,B D2 F' R' B' R B F D2 B2 D' B D,52
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,B U L' F D2 B,B' U F U2 B U,F2 U L' U' L2 R' F' D2 B2 L' D2,D2 B' F' R B R F D2 L B' L',B L2 D' F L2 F' L2 F' D' F D2 B' L2,47
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,L2 F' L R D2 B,F2 L U F2 U L U' L' F',D U L B' U' B' U2 R U' B' L' R2 U',R' B2 D' R2 B' D2 L' D F D2 L B' R,D2 B' R' B R D2 L2 D2 B U B' D2 U' L2,55
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,U2 R B2 D' U',L F' L2 U2 F L',F' D' U' F U F' D U F' U' F2,U2 B F' L' D' B D B F L' B L B U2,U B2 U2 B2 R B R' B U2 F' L B2 F U',50
