scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,L2 U R2 B U R',R2 U' B' U L2 D2 F' D2 L2,R D R' D F' D F' U2 F2 D2 L B2,L B2 F L B F' D' B L',R' F' R' B F U F U F U2 B',47
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,B' R D' U2 L2 F2,R' U2 F U' R U' L' U2 L',B D2 L B D L2 D B2 L U' L U,B L2 B U2 R2 D2 F R2 U2 B',L F2 L' R' F U2 R2 U2 F R,47
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,U F2 L U R2,F D2 R U' B D2 U F' R2,D B U' L2 D2 U2 B' U' L B2,U L B2 F' L' B2 F2 R F' L' U',D R' D2 U2 L D' L' D2 U2 R,45
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,U R2 B' L B D' R,L R2 F' U2 L' R2 U,F L' U L B2 U B' L' U' F' D B2,F' R2 D U' B2 U2 R D U' B' D2 F,L R F' R B' F D' F D' B F' L',50
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U' F R' B' U2,L D' U L' U' B' D,F' U R' U B' R' F R' D R' B R,B L B2 L2 D L2 B2 L2 D L B',U F U B2 D L B D' B U2 R F',47
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,D L F' U2 B L2,D R2 F2 R' B R' B' D',D2 L U2 B U' F' L2 F' R' F2 D2,U F' R D2 U2 L' D2 U2 F U',D B' L U2 B2 F2 D2 B2 F2 L' B D',47
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,R U' R' B2 D2 B',R2 U F2 L' D U' R2 D',D2 F L2 D2 B' L' F' D B2 D R D',L2 F2 U R D U' B' D' F2 L2,L2 R U2 B R2 U2 L2 F D2 R',46
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,R B2 L2 B L',F L' F' U L2 R' F2 R U2,R2 B F2 L B' F2 R U R' U' R2,U F D B R' B' D' F' U' R,L B2 F2 R2 B' F D R D B' F L' D',48
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,F R' U' B L2 R',L' U' R' F' D2 B' D2 R U2 L,F' U' R' F R2 B' D R B' D2 B2,B2 R' U' B' D' U R D R B2,L B F' D' R D' B F' R2 B2 F2 L' D',50
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,D L' B U2 B F2,U2 F' D R F D' U' L' U',U B2 U B2 F L B2 F' D' U' B' U' B',D2 U2 L' D' U B D' U,F L B F' D' F' D B' F L',46
