scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B D L2 R2 B L',U' B R U' F' R' B' R U,D2 L R2 D' L2 B L2 D L' R2 D2,U2 B L B2 R' F2 R B2 L' U2 B' U2,L2 F' D R' F D' L2 R2 U B' R U' B R2,52
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B' U R2 D2 R2 B,F R D' U2 F' D F2 R',L' D R2 D' L F' L F' L' U' F,R U' R F' R' U F R2 U R2 F' R',R2 U' F L2 F' U R2 U' F L2 F' U,49
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,L D2 L U' B U',L U2 F' U2 L' D' F' D F2,U B R2 D B2 D' R2 B' U',B' D2 L B R F D2 B' F' L' B R',U' F L2 F' U R2 U' F L2 F' U R2,48
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,L F U2 B R D',L2 U R U' B2 L B2 L F,U L' D2 L' U2 L D2 F' L' U2 L2 U',B U' L D' B' L' B D L' U B',B L' D L B D B2 L B L' B D' B2,51
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,R F2 D B L,R U' L B2 D' B2 L' F R',F D' R2 B F2 L B' F2 R2 D F',U2 L D' L' U2 L D' B' D B D L',U' F L2 F' U R2 U' F L2 F' U R2,49
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R2 D B R' D2,F' U2 F2 R U2 R2 U' R2,U' F' U' B2 L U2 L D2 R2 F2 D2 L2,L2 R2 D2 B' U' B D2 U L2 U F U' R2,L2 F2 L2 F U2 F2 L2 B D2 F2 D2 L2 B' U2,52
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,D L R F' U' B,F2 L' U L R U' R2 U' F' R2,R D' B F' U2 B' D F2 U' F' R,U R' D' F' D R F U' R2 B' R2 B,U' F L2 F' U R2 U' F L2 F' U R2,51
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,F' D R' B2 U L',R2 F' R' U2 F2 R2 U2 R,D2 R2 D2 B F2 U2 L2 U' B' U' F2,L2 D' U' L' U2 B2 U2 L' D U,L2 F' D R' F D' L2 R2 U B' R U' B R2,49
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,B F' D2 L' U',R U B' U' F U B R',U' F L' U B' U B D2 B2 D2 U' L,U2 B L D' L U2 L2 D' R2 D' R2 D' B' U2,L2 F2 L2 F U2 F2 L2 B D2 F2 D2 L2 B' U2,53
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,D2 F' D' B' R' B2,L2 D' L B' L2 F2 D L',D2 B U2 B2 D' U F2 U F' D' L2 F2,B D2 R' B2 R D2 L U' L U L2 B',U' L2 R F2 L B' U2 B L' F2 L2 R' U' F2 U2,53
