scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B2 U' F' L2 D2,R2 F U B' R U' R2 B L2 F2,U' L U F D' B2 D U' L2 F' L',R' U2 L R2 B' R F2 R' B R' U' L',D F' D' B D F D' B',46
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,L' B2 R U' F2 D2,R U' R D2 L2 B' D2 F R2,U B2 F' L B' F U' B2 U' B,R' F' L2 U2 L2 U2 L2 U2 F R,L' D' L U L' D L U',43
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B' F2 D' R B L,F' U2 R2 U R' U2 B2 D' B2,F' L B' L2 B L2 U B U' L2 F,L R' U F L' U' L' R B L U' B',L2 D' L2 D F' L2 U L2 U' F2 D F' D',51
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,B R' B' D' F,R D2 F L2 D2 U R B R,F2 D' B D B F2 L' B' L U2,L2 F2 L' F U L' U2 B' R U' B' R' B2,L2 D' L2 D F' L2 U L2 U' F2 D F' D',50
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 F2 D U' B F',D2 F2 D' R' U L2 D' F U',B R U' F' L F U R' B' U',D2 B' U' B2 U L U B U2 B' L' D2,U B D B' U' B D' B',45
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,U F' R2 B F',D2 F2 D' F' D U' F' R D2,F' L' D F2 D2 B' U' B' D U2 F,L R' F L F L2 R U2 B' U' B U,D' B2 D' F2 D B2 D' F2 D2,46
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,R' B R2 D' B2,L2 U L D U2 F2 D',R' B' F' U2 F U B F2 R U2 L,L' R B' L' R2 F' L R' D R' B L R',F U2 F D2 F' U2 F D2 F2,45
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,D F D B U' L2,D2 U F' U F' L F2 L' D2 U2,U L2 B2 R B L' R' B L B L2,R B U2 B' L2 R2 F L' R F2 U' L',B D F' D' B' D F D',47
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,D L F2 U R2 B,U B' U R F2 R2 F2 D2 B R',L2 R' D2 B2 R B2 D2 F R U2 L',F' U2 F L U' F' L' F' L U2 L' U F,D2 F2 D B2 D' F2 D B2 D,49
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,U2 F' D L2 B' D' B2,U2 R' B2 D2 L' D2 B2 U,L R2 D' L D F R U' L' R,U' L D F U' B' F R B F2 D' L' U,D F' L2 F D' F' D L2 D' F,48
