scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,U' R' U' L F' L,B2 U' R2 U B2 R2 F2 R2 F',L' D' L R2 U F U' F' R2,R D2 L' D L B D B' D R',F2 U2 F D' F' U2 F2 U' F' D F U,46
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L B' U F' L' U',R D2 F D' F D2 R' F' D',B D' R2 F2 R' D F R F' R2 B',D R U' F2 U R' D B D2 B' L2,U2 R U' L2 U R' U' L2 U',46
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,D' B' L2 R2 B' L,U' R U B' D B D',B L R D' L' D' F R' D B',F' D' B F' R F R' B' F D,B' L B2 D2 R' F2 R D2 B2 L' U2 B,45
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B D F2 L2 R B D,B L2 D2 R' D' R F' D2 B2 L2,B R' B R B' R F' R' B',B' L2 B R F L2 F' R',L D2 L' U' L D2 L' U,42
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L D U R',U' L D2 L' B2 R B2 R2 U,F' L' R' D' R D2 L F,L R D' L' F' D' F D R',D2 B D F' D2 R2 D' R2 D R2 B' D' F,43
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U2 B' U' L' R' D2,L' R2 U2 L2 U2 L' F' R2 F,B R D2 F' D F' D2 R' B' D',L2 D B D' B' L' D' L',B2 L2 B' L2 B L2 D' B' U B' U' B' D B,47
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,D' R2 B L D2 B,D2 B U' L2 D2 U' B2 F U2,B D' F' D B' F R F2 R',L R D' L' F' D' F D R',R2 U2 F2 D' B2 R2 D F2 U' B2 L2 U' R2,46
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,F' U L2 B' U',F' U' R2 B R D B' D' U,D B D' B' F' D' F D,D2 L B R D2 F' R F' D R2 B2 U L B,U L2 U R U' L2 U R' U2,45
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,D' L D' B' U' R,D U2 F2 U2 R D2 R B2 R2 D,R F' R' B D' R F' D R F' R2 B',B' L2 B L' U2 R2 D R2 U2 L',D' B D' F' D' F D' B' L2 D L2 D' L2,51
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,R' U' B F2 L R,F2 R2 U2 B2 U' F2 U' R2,B R D' F2 D2 F2 D' F2 R' D' B',L2 B L R D L' B' L2 B R' B',D2 F' R2 B2 L B' R B' R B' L' B F,49
