scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,L' D' B' D R' U,U2 R2 F' R' U2,D' L U' L' U' R2 D' R D' U2 L D',F U' L F' L' R U B F' U' L B',U B2 D2 L' F2 D2 B2 R' U,44
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,U R2 B D U2 R2,U2 F' R' U F' U2 R' U',B R' B' F' D B' D' B2 U' B' F R2,U F2 R D' U F' D2 U2 R2 D',F' L' R U2 L R' F',43
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,L2 D L R' F R2,F' R' F' U R2 U F2,L D2 U2 F R' D' F' D' U2 B,B2 D U2 L D U' F' D2 U' B2,R U R' D' U F U' F' D U',43
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,F' L B D F2 R,U' R F' L' B2 L U F2 U2,L B L' B' F' D F2 U B U F' L2,R2 B' R2 D' R2 U L D L' U' R D B,D' U F U F' D U' R U' R',50
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,L' F D L D' B' U2,L' U B2 U' B L' D L2,B2 L B' L' D' B D' F2 U2 F2 D2 B,D2 R' U2 F2 D U' R2 D2 F D' U',F' L' R U2 L R' F',45
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,R U F' L2 U2 F D2,B2 D F' D' B2 R' F2 U2 F',F' R' B' D2 F2 L' B' U B' U2 B' F',D2 F2 D' U' R2 U2 F D U' R' F2,R U R' D' U F U' F' D U',49
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U2 R' U B R D',R' F' U2 R U' F' R2 F2,L B' D B L' F2 L' B' L R2 U F2,B2 F2 R B R' B2 F2 L B' L',U R U' L' R' B2 R2 B R' B' R' B2 L,49
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,F D2 B2 L' U',U F' U R2 U' F R' U',B' U L B' L D U F' L2 F' D',R D' R2 D2 R D L B R' B L' D' R2,R U R' D' U F U' F' D U',47
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,L' D2 R D' F2,D2 F U F' D2 U2 R2 F U2,D' F2 D L2 F U2 F' D' F2 D B,U R2 U' R' F' R2 B' F U F2 D2 U' R B,U B2 D2 L' F2 D2 B2 R' U,48
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,F D' L' B' U L2,D' B2 D2 L D L' B2 D,D' F L R2 D' R2 F' L' D L' B L,B2 L F L D' B' F L U' B F2 L' B2,U R U' L' R' B2 R2 B R' B' R' B2 L,52
