scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L2 R2 U2 R' F U2 B2 R' D2 U' L' B2 D' F U' D F B2 R D2 L2,x2,R' B U' B L R,L2 B' R2 D F2 U2 F' R D' B,R' U2 L U2 L' U2 R2 U' R' U2,D F2 U F D' U L' U' L2 U',U' B U R D L B' L' D' R',46
F' R L' B' L' F2 B R2 U F2 D B' F2 D' B D' U2 F' R' D',x2,U L2 R' U2 B',U' L' D' U R2 D2 B R2 D,U2 B' R U2 F R2 F' R' B U2,D L' U L' D2 B2 U R D' R D2 B2 U2,L' B2 F2 R D R' B2 F2 L U',47
U R2 L' B U2 L2 U F2 D B2 U L U2 R' D2 L F' U' D2 F2 U',x2,B' U' R B F2 D,B2 R2 D B R2 B2 D B',U2 F D B' R2 B D' F',B' R' U' B U2 B2 D' F D R' B2 U',F R2 B' R' B' R B2 R2 B' F' U' B U,47
B' R2 D' L2 U F R' F B' U2 R' B' U' R' F' U2 L U F' B2 D2 L,x2,F D2 U' L2 R B',F2 R' F' U' L' R F U R F,D2 U' B' U F' U B F D2,L F' U L' B' R2 D' F' D L R2 F L' B,L B F' D' L D B' F L' U',49
L D' F B' R' B' L F' D R U R U L' F2 B2 R B2 F L' F2,x2,F' L R D' U F',B2 R' U2 F2 U2 B2 D L' F D L,L' B F2 L2 F2 L B' U2 R U R',R' F L R U' L' B2 R2 F' D' F' D R2 B2,U L B F' D' L' D B' F L',52
U B D B' U' R' D2 R' F U D2 R B F D2 R2 L' U2 B2 U2 F2 B D' L2,x2,D2 B2 D L B U2,R' B2 U2 B L' D U2 B2 L',U L U2 F U2 R' F' R U L',B R' B' D L' D2 F' D B2 U2 B L' B L,F R2 B' R' B' R B2 R2 B' F' U' B U,52
D F R L2 D' B' R2 L2 F' R' D B' L2 B' R L2 B2 U2 L' B',x2,U2 L D R2 B F,L' U2 F U2 F L2 D' F' D L,D' B L B2 L B2 L B2 L2 B D,L U2 R' U R B' R F2 D B F2 U' L' R',R B' R' B' R2 F D B D' B' F' R2 B2,54
B R' B R F' R2 F' D' F' L2 D' R D2 B2 F2 U' F' U2 F D B' R2 U R2 U,x2,B' L2 U' B2 D2,L B' F2 R U2 L' F' L B,F2 U2 F U2 L F U2 L' U' F,B' F U' B U' L F' R U R2 F2 L' R F',L' B2 F2 R D R' B2 F2 L U',48
L2 D F' L' F' L2 F' U' D F2 R' L B2 F' L' R2 F B2 R' L U L2,x2,L U' F D' R',R' F D' F' L' D' R D2 L,L D' U' F U' F' L' U L D L',U' B' U' B' D2 R U2 F U' F D B2 D L,U' B U R D L B' L' D' R',49
B2 R F' R U F' D' U2 B' D2 L U D F L R F2 R2 L' U F' B2 U L' B',x2,U' L2 B2 F' D,B2 D' L2 D B D B F R' F R2,U R U' B2 F' U B' U' B2 F R',R2 B D2 F U' L' D' B2 D2 F' U F D U B,R D L B L' D' R' U' B' U,52
