scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,U F2 D' L' B D',B2 D' B' U' F2 L B' D' F2 D,F R F' L' B2 R D2 L U2 F2 L D F2,R F2 R D2 F' D2 U2 B U2 R' F2 R',F L' F U B D L D' B' U' F2,52
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,D2 F' D F2 L' R2,R' U' F D R B F' D',R D F L2 R' D2 F D' L' B' U2 F2 U,D2 R' D2 R B D F D2 F' D' B' D2,L' D' F' L R' D2 L' R F' D L,50
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,U' B F U' L',R F' D2 L' B2 U2 L' F' D',U2 R F2 R' B' D L' U2 R D' F' R F2,D' B2 D R D B D2 B' R' B',L' D' F L R' D2 L' R F D L,48
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U B' D' F L2,U B L2 U' L' B' L' U2 B,U2 F' L' U L' B U B F2 R F' R',B2 D B L' R D' L R' D' B2,D F D' F2 D2 B F R F' R' B' D2 F,49
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,D F R' D2 L2,F2 U L U2 F U L F,B U' B2 U F2 D' R F2 R' B' F' D F',F D2 F2 U2 B2 D B' D' U R U F,D F D' F2 D2 B F R F' R' B' D2 F,51
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,F U2 L2 D L2,F' U' L' F2 L F2 U L2 F,L B R B2 R' B' L' U' B2 U,F D2 F' U' B' L' D2 L D B D' U,B2 R' B' F D2 B F' R' B2,45
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,U' F D' U B',D R2 B2 D2 U' R2 B U B,U' B' D F2 D L' U F R2 U' L F U',B2 U2 F2 D R F L R' D' L' D F2 U2,U2 B' F' U B2 L2 B2 U B F,50
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,R2 D F L2 B,B2 R B2 U R' B2 D2 B U' R',L' D L D B2 D' R2 B' U F' L' F U',R B' L' F' D F L F D B F' D' R2,L' D' F L R' D2 L' R F D L,52
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,F' U' B R',B' U2 L2 U2 L' U2 L2 B L,F2 D' B D2 R F' D F' U2 L U2 R2 B',R' B' F' R' U' B2 U F D L B2 L' B R,U2 B' F' U B2 L2 B2 U B F,50
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,L' D' F' U R2 F',F2 D' F' L D2 F' U' R2 U,F2 L' F2 R' B2 R2 U' B L2 R D L2 U2,D' L' D' L' B2 F2 D2 L D F D B2 F2 L2,U2 B' F' U' B2 L2 B2 U' B F,52
