scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,D2 F' D B2 L' U2,L2 D2 U B2 R F' D R' U',L' F2 L U B U' L' D2 F2 L,D L' F2 L R F R2 B' D2 B R D',,37
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,B' U2 R2 B' D F',U2 R' D2 F' L2 B' D' L D' F2,U2 L' B' U' F' L B2 F L U',F U' F' U F U' R2 U' R2 U2 F',B U R D' U F2 D U' R U' B',48
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,U' R B F2 R D,B2 D2 B2 U B D2 B2,D F' L' F2 D2 L2 F L2 D2 F' D',L' U B' L U' F' L2 D2 L' D' F L',B F U' B2 R2 B2 U' B' F' U2,46
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,L' D2 U' L' B2 R',D' L' U2 F L F' D B2 U2,L F' L' D' F L' D L D' L',R2 U' R' U R2 D R U' R' D' U,B F U' B2 R2 B2 U' B' F' U2,46
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,B R D' L' B,B' R2 D R' B R' B L2 D',L F' L2 D B L B2 D2 L' D2 B' F,L F2 R' D' B' D' B D2 R F2 L',U2 B F U B2 R2 B2 U B' F',47
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,L2 D2 B' U R' B',R2 F R2 F' R2 F,L F2 D2 F' U2 R U F' U L',U F2 U L' U R2 U' L U' F2 U',B U R D' U F2 D U' R U' B',44
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,R' F' L D' B R2,B2 R2 U B' R D2 B' F' D2,L' F' L2 U B' U' F' D F2 L,F U' R' B U F' U' B' U,B U R' D' U F2 D U' R' U' B',45
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,F' L' R D' B' R,R' B' U2 R2 F' R2 U2 R,F U' R D U' B D' R2 U2 F',L' U B2 L' B' L B' U' L,B F U' B2 R2 B2 U' B' F' U2,43
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B2 U2 F D L' R,D' L R' F' L2 R' D F' R2,L' D' L2 D L2 D B' L' B L2,D2 B U2 B' D2 B U2 B' F2 R F' R' F',R B D' U R' F R D U' B' R2,49
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,D' L' B' L2 R' F2,R F R' B' U B L D2 L',L' U B' F' D' B D F L U',U' L' U' B' U' B2 L' B2 U' B U L2 U',B2 L B F' D2 B' F L B2,47
