scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,F2 U L' R2 U,L2 B2 R' B U B' U2 L2 R,B U' R' D R U2 B' R' D' U' B',F2 D2 F' D F D2 B' D' B F2,U2 R2 F2 L' U L' U' L2 F2 R' D' R' U2,48
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U' R2 D2 B D F' R,D' R F' D L R' B D2 L',B2 L U2 R2 D' R D' F' D2 U2 L',R' U' F' L2 D B' D' B L2 F U R,,39
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,R2 U B2 U2 B' L2 U,B' L' R' D R F' D B D,B U2 R2 U' R' B2 R B2 R2 B' U',L2 R' B2 R B' R F D2 B' D2 F' L2 R,L2 U B U' L' B' L U' L U L2 B L',53
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,D2 B L2 D' F2 L U2,L' R2 U F' L' U L2 R2 D',B' U2 L R B R2 B' L' U2 B,L2 U F' R2 B R B' R2 F R' U' L2,L2 D2 F U F U R2 B2 U B' U F D2 F,52
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,F2 L U' L' U2 R',R D F2 L R' D L',L2 B2 L' B2 L' B2 L' B2,L B' D2 L' F' D2 L' F' L2 B L' F,L2 D2 F U F U R2 B2 U B' U F D2 F,47
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,F2 D L2 F' L',D2 B' D2 F2 L B D' F' D2,B U R B' R B U' B',D F' U L F2 L D' U2 B U' L' B2 L' U2,B R B R2 F' U' B' U B F R2 B2 R',49
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L D' B U' R2,D R D' F2 D F R',U B' R' B R2 B2 D B2 D' U',F2 D' R2 D' L2 B' U B L2 D F2 R2 D F2,F' D2 R D' R' B2 L2 U' L' U L' B2 D2 F,50
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,F D' U2 R2 F',B2 L2 U B2 F' U F U',B U R D R B2 R' D' B U' B2,L2 R D' R D R' D B D2 R2 D2 B' D' L2,U2 R2 F2 L' U L' U' L2 F2 R' D' R' U2,51
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,L' D' U2 F2 D' B',B' F' U' R F2 D' U B,L2 U2 F D B R F' R B' R2 U2 L2,L D' R2 D2 L' R2 D R2 D' F2 R' F2 R2,U2 R D R' D2 L D' R D L' R' D2 U2,52
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,F2 U' L' F U2 F',F D2 U' R D2 U F' D2,B U R D B2 U' L' B' L D' B',L2 U B D' F2 L' U L F2 D R2 B' U' L2,B' U' B U2 F' L2 F L2 U' B L2 B' L2,52
